Player,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Tm,Home,Win,season,date
John Wall,12,24,.500,2,4,.500,6,6,1.000,0,4,4,14,0,1,3,2,32,+8,WAS,1,1,2017,20170416
Otto Porter Jr.,3,6,.500,1,2,.500,3,3,1.000,2,7,9,2,0,0,0,3,10,+20,WAS,1,1,2017,20170416
Marcin Gortat,7,11,.636,0,0,0,0,0,0,6,4,10,0,0,2,1,3,14,+21,WAS,1,1,2017,20170416
Kelly Oubre Jr.,4,8,.500,1,3,.333,2,2,1.000,1,2,3,1,2,1,0,4,11,-16,WAS,1,1,2017,20170416
Brandon Jennings,0,2,.000,0,1,.000,0,0,0,0,3,3,5,1,0,0,1,0,-10,WAS,1,1,2017,20170416
Bojan Bogdanović,2,8,.250,0,1,.000,0,0,0,1,1,2,1,1,0,0,0,4,-9,WAS,1,1,2017,20170416
Jason Smith,0,1,.000,0,0,0,0,0,0,1,0,1,0,0,1,3,4,0,-13,WAS,1,1,2017,20170416
Tomáš Satoranský,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5,WAS,1,1,2017,20170416
DeMar DeRozan,2,11,0.182,0,0,0.0,1,3,0.333,1,2,3,3,0,0,0,1,5,-21.0,TOR,0,0,2017,20170503
Kyle Lowry,7,12,0.583,2,2,1.0,4,5,0.8,0,1,1,5,0,0,2,3,20,-22.0,TOR,0,0,2017,20170503
Norman Powell,3,6,0.5,0,1,0.0,2,2,1.0,1,4,5,2,1,1,3,4,8,-24.0,TOR,0,0,2017,20170503
Serge Ibaka,7,14,0.5,0,2,0.0,2,2,1.0,2,3,5,0,1,1,2,5,16,-18.0,TOR,0,0,2017,20170503
Patrick Patterson,1,3,0.333,1,2,0.5,0,0,0.0,0,2,2,4,1,0,1,0,3,-12.0,TOR,0,0,2017,20170503
Cory Joseph,9,14,0.643,2,3,0.667,2,2,1.0,1,5,6,1,1,1,2,3,22,-6.0,TOR,0,0,2017,20170503
Jonas Valančiūnas,10,13,0.769,0,0,0.0,3,5,0.6,0,5,5,0,0,0,0,1,23,-13.0,TOR,0,0,2017,20170503
DeMarre Carroll,0,6,0.0,0,4,0.0,0,0,0.0,0,1,1,1,2,1,2,0,0,-2.0,TOR,0,0,2017,20170503
P.J. Tucker,0,3,0.0,0,2,0.0,0,0,0.0,1,2,3,2,0,0,1,3,0,-9.0,TOR,0,0,2017,20170503
Delon Wright,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,0,4,2.0,TOR,0,0,2017,20170503
Pascal Siakam,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,1,1,0,0,1,0,5.0,TOR,0,0,2017,20170503
Jakob Poeltl,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,2,6.0,TOR,0,0,2017,20170503
Fred VanVleet,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,4.0,TOR,0,0,2017,20170503
LeBron James,10,14,.714,4,6,.667,15,21,.714,1,5,6,4,3,2,3,3,39,+24,CLE,1,1,2017,20170503
J.R. Smith,2,4,.500,2,3,.667,0,0,0,0,3,3,1,2,1,0,1,6,+28,CLE,1,1,2017,20170503
Kyrie Irving,6,19,.316,3,6,.500,7,7,1.000,0,0,0,11,2,0,2,2,22,+26,CLE,1,1,2017,20170503
Tristan Thompson,4,5,.800,0,0,0,1,3,.333,3,6,9,2,0,1,0,2,9,+25,CLE,1,1,2017,20170503
Kevin Love,4,9,.444,1,4,.250,0,0,0,1,6,7,1,1,0,4,4,9,+10,CLE,1,1,2017,20170503
Iman Shumpert,6,8,.750,1,2,.500,1,1,1.000,0,6,6,1,0,0,1,3,14,+12,CLE,1,1,2017,20170503
Kyle Korver,1,4,.250,1,4,.250,0,0,0,0,3,3,2,1,0,1,0,3,+2,CLE,1,1,2017,20170503
Channing Frye,6,9,.667,5,7,.714,1,2,.500,0,5,5,1,0,0,0,4,18,+1,CLE,1,1,2017,20170503
Deron Williams,2,3,.667,1,1,1.000,0,0,0,1,0,1,5,0,0,3,2,5,-4,CLE,1,1,2017,20170503
Richard Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-6,CLE,1,1,2017,20170503
Dahntay Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,CLE,1,1,2017,20170503
James Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4,CLE,1,1,2017,20170503
Marc Gasol,11,18,0.611,3,3,1.0,7,7,1.0,0,5,5,2,0,2,1,4,32,-11.0,MEM,0,0,2017,20170415
Mike Conley,5,14,0.357,2,4,0.5,1,2,0.5,1,4,5,7,3,1,2,2,13,-7.0,MEM,0,0,2017,20170415
Vince Carter,2,6,0.333,0,1,0.0,0,0,0.0,1,3,4,1,1,0,1,2,4,-12.0,MEM,0,0,2017,20170415
Wayne Selden,2,8,0.25,0,3,0.0,1,2,0.5,0,3,3,1,1,0,1,0,5,-1.0,MEM,0,0,2017,20170415
JaMychal Green,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,4,3,8.0,MEM,0,0,2017,20170415
Zach Randolph,3,13,0.231,0,1,0.0,0,0,0.0,0,3,3,1,0,0,1,1,6,-39.0,MEM,0,0,2017,20170415
James Ennis III,1,2,0.5,0,1,0.0,0,0,0.0,2,1,3,1,1,1,0,1,2,-28.0,MEM,0,0,2017,20170415
Andrew Harrison,3,6,0.5,1,2,0.5,3,4,0.75,1,1,2,2,0,0,1,2,10,-19.0,MEM,0,0,2017,20170415
Troy Daniels,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-29.0,MEM,0,0,2017,20170415
Deyonta Davis,3,3,1.0,0,0,0.0,1,2,0.5,1,3,4,0,0,0,0,1,7,-3.0,MEM,0,0,2017,20170415
Wade Baldwin,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,1,0,-3.0,MEM,0,0,2017,20170415
Jarell Martin,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,1,0,2.0,MEM,0,0,2017,20170415
Brandan Wright,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,2,0,0,0,-3.0,MEM,0,0,2017,20170415
Kawhi Leonard,11,14,0.786,1,3,0.333,9,9,1.0,1,2,3,5,2,0,2,1,32,17.0,SAS,1,1,2017,20170415
LaMarcus Aldridge,8,18,0.444,0,0,0.0,4,5,0.8,2,4,6,2,0,0,0,2,20,11.0,SAS,1,1,2017,20170415
Tony Parker,8,12,0.667,2,2,1.0,0,0,0.0,0,1,1,2,0,0,0,1,18,12.0,SAS,1,1,2017,20170415
Danny Green,0,2,0.0,0,2,0.0,2,2,1.0,1,4,5,1,1,4,0,1,2,6.0,SAS,1,1,2017,20170415
Dewayne Dedmon,0,0,0.0,0,0,0.0,0,2,0.0,2,6,8,1,0,2,0,1,0,-5.0,SAS,1,1,2017,20170415
Pau Gasol,2,7,0.286,2,2,1.0,0,0,0.0,0,4,4,1,0,1,1,2,6,22.0,SAS,1,1,2017,20170415
Patty Mills,3,4,0.75,3,3,1.0,0,0,0.0,0,2,2,0,0,0,3,3,9,17.0,SAS,1,1,2017,20170415
Kyle Anderson,2,3,0.667,0,1,0.0,0,0,0.0,0,3,3,0,0,1,1,1,4,17.0,SAS,1,1,2017,20170415
David Lee,2,5,0.4,0,1,0.0,1,2,0.5,1,3,4,0,0,2,0,1,5,22.0,SAS,1,1,2017,20170415
Jonathon Simmons,2,3,0.667,0,0,0.0,2,3,0.667,0,2,2,2,0,1,1,2,6,5.0,SAS,1,1,2017,20170415
Manu Ginóbili,0,4,0.0,0,2,0.0,0,0,0.0,1,2,3,2,1,0,0,2,0,18.0,SAS,1,1,2017,20170415
Bryn Forbes,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,3,5,0.0,SAS,1,1,2017,20170415
Dāvis Bertāns,1,1,1.0,1,1,1.0,1,2,0.5,0,0,0,0,0,0,1,0,4,3.0,SAS,1,1,2017,20170415
Paul George,10,20,.500,4,10,.400,8,9,.889,1,7,8,7,1,1,4,3,32,-9,IND,0,0,2017,20170417
Myles Turner,3,10,.300,0,1,.000,0,0,0,1,4,5,2,1,2,1,2,6,-2,IND,0,0,2017,20170417
Jeff Teague,8,12,.667,2,3,.667,5,5,1.000,0,4,4,4,1,0,3,3,23,-4,IND,0,0,2017,20170417
Thaddeus Young,7,11,.636,0,0,0,2,6,.333,3,0,3,1,6,0,0,4,16,-2,IND,0,0,2017,20170417
Monta Ellis,1,4,.250,0,1,.000,0,0,0,1,1,2,3,1,0,1,0,2,-4,IND,0,0,2017,20170417
Lance Stephenson,6,13,.462,0,0,0,1,1,1.000,1,1,2,4,2,0,0,4,13,-3,IND,0,0,2017,20170417
C.J. Miles,4,7,.571,1,4,.250,0,0,0,1,1,2,1,2,0,2,4,9,-5,IND,0,0,2017,20170417
Kevin Séraphin,3,6,.500,0,0,0,0,0,0,1,3,4,1,0,0,2,1,6,-4,IND,0,0,2017,20170417
Glenn Robinson III,1,1,1.000,1,1,1.000,1,2,.500,0,2,2,0,0,0,0,0,4,-3,IND,0,0,2017,20170417
Lavoy Allen,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,+6,IND,0,0,2017,20170417
LeBron James,11,20,.550,0,2,.000,3,6,.500,0,10,10,7,4,4,8,2,25,+6,CLE,1,1,2017,20170417
Kevin Love,6,7,.857,3,4,.750,12,12,1.000,1,10,11,3,0,1,2,4,27,+15,CLE,1,1,2017,20170417
Kyrie Irving,14,24,.583,4,10,.400,5,5,1.000,0,2,2,2,1,0,4,4,37,0,CLE,1,1,2017,20170417
Tristan Thompson,2,5,.400,0,0,0,0,0,0,5,5,10,1,0,2,3,1,4,-2,CLE,1,1,2017,20170417
J.R. Smith,1,3,.333,1,2,.500,0,0,0,0,0,0,0,0,0,1,0,3,-4,CLE,1,1,2017,20170417
Iman Shumpert,2,3,.667,1,2,.500,0,0,0,0,0,0,0,1,0,0,3,5,+4,CLE,1,1,2017,20170417
Deron Williams,3,4,.750,3,4,.750,0,0,0,0,0,0,2,0,0,0,1,9,+4,CLE,1,1,2017,20170417
Kyle Korver,1,4,.250,0,3,.000,0,0,0,0,1,1,2,0,0,0,0,2,+8,CLE,1,1,2017,20170417
Channing Frye,1,4,.250,1,3,.333,0,0,0,0,2,2,1,0,1,0,0,3,0,CLE,1,1,2017,20170417
Richard Jefferson,1,2,.500,0,1,.000,0,0,0,1,0,1,1,0,0,0,1,2,-1,CLE,1,1,2017,20170417
J.J. Redick,3,11,.273,2,7,.286,4,4,1.000,0,0,0,0,0,0,4,1,12,-11,LAC,0,0,2017,20170423
Chris Paul,10,21,.476,1,6,.167,6,8,.750,1,8,9,12,1,0,2,4,27,-5,LAC,0,0,2017,20170423
DeAndre Jordan,5,8,.625,0,1,.000,2,6,.333,4,6,10,1,0,0,0,3,12,-11,LAC,0,0,2017,20170423
Luc Mbah a Moute,1,8,.125,0,3,.000,3,4,.750,0,5,5,1,3,0,1,0,5,-11,LAC,0,0,2017,20170423
Marreese Speights,2,8,.250,1,5,.200,0,0,0,0,4,4,1,0,0,0,2,5,+2,LAC,0,0,2017,20170423
Jamal Crawford,9,13,.692,5,7,.714,2,2,1.000,1,0,1,2,1,0,2,5,25,+1,LAC,0,0,2017,20170423
Raymond Felton,3,5,.600,2,2,1.000,3,3,1.000,0,1,1,0,3,0,0,1,11,-5,LAC,0,0,2017,20170423
Paul Pierce,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,1,0,+7,LAC,0,0,2017,20170423
Wesley Johnson,0,0,0,0,0,0,1,2,.500,0,0,0,0,0,0,0,1,1,-2,LAC,0,0,2017,20170423
George Hill,4,11,.364,1,3,.333,4,5,.800,0,1,1,2,0,0,3,1,13,+14,UTA,1,1,2017,20170423
Joe Ingles,3,6,.500,2,4,.500,0,0,0,1,5,6,11,2,1,2,3,8,+13,UTA,1,1,2017,20170423
Rudy Gobert,6,6,1.000,0,0,0,3,4,.750,2,11,13,1,0,2,2,1,15,-5,UTA,1,1,2017,20170423
Boris Diaw,0,4,.000,0,3,.000,0,0,0,1,1,2,1,1,0,2,1,0,+4,UTA,1,1,2017,20170423
Gordon Hayward,1,3,.333,1,3,.333,0,0,0,0,2,2,0,0,0,1,0,3,-4,UTA,1,1,2017,20170423
Rodney Hood,6,16,.375,3,5,.600,3,4,.750,1,3,4,1,1,0,0,4,18,-1,UTA,1,1,2017,20170423
Joe Johnson,12,17,.706,2,3,.667,2,2,1.000,1,4,5,5,1,0,1,3,28,+6,UTA,1,1,2017,20170423
Derrick Favors,7,10,.700,0,0,0,3,6,.500,1,5,6,1,2,0,0,0,17,+12,UTA,1,1,2017,20170423
Dante Exum,1,1,1.000,1,1,1.000,0,0,0,0,0,0,1,0,0,0,1,3,+1,UTA,1,1,2017,20170423
Raul Neto,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,1,2,0,-7,UTA,1,1,2017,20170423
Shelvin Mack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,+2,UTA,1,1,2017,20170423
LeBron James,13,18,0.722,4,7,0.571,5,8,0.625,1,7,8,8,3,1,2,4,35,36.0,CLE,0,1,2017,20170525
Kyrie Irving,9,15,0.6,4,8,0.5,2,2,1.0,1,1,2,7,2,0,3,0,24,33.0,CLE,0,1,2017,20170525
Tristan Thompson,1,3,0.333,0,0,0.0,4,4,1.0,1,4,5,1,0,1,0,0,6,33.0,CLE,0,1,2017,20170525
Kevin Love,5,13,0.385,3,7,0.429,2,2,1.0,2,9,11,3,4,1,1,2,15,43.0,CLE,0,1,2017,20170525
J.R. Smith,2,4,0.5,1,3,0.333,1,2,0.5,0,1,1,0,2,0,1,4,6,29.0,CLE,0,1,2017,20170525
Deron Williams,5,6,0.833,2,3,0.667,2,2,1.0,0,0,0,0,0,0,0,1,14,3.0,CLE,0,1,2017,20170525
Richard Jefferson,3,5,0.6,1,3,0.333,2,2,1.0,0,3,3,1,0,0,1,5,9,-10.0,CLE,0,1,2017,20170525
Iman Shumpert,2,3,0.667,0,0,0.0,0,0,0.0,0,3,3,0,1,1,0,0,4,6.0,CLE,0,1,2017,20170525
Channing Frye,2,6,0.333,2,5,0.4,0,0,0.0,0,2,2,2,1,0,0,0,6,-2.0,CLE,0,1,2017,20170525
Kyle Korver,2,4,0.5,2,4,0.5,1,1,1.0,0,0,0,0,0,0,2,2,7,6.0,CLE,0,1,2017,20170525
Dahntay Jones,2,4,0.5,0,0,0.0,1,1,1.0,0,1,1,0,0,1,0,3,5,-4.0,CLE,0,1,2017,20170525
James Jones,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,-4.0,CLE,0,1,2017,20170525
Derrick Williams,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,0,2,-4.0,CLE,0,1,2017,20170525
Avery Bradley,10,20,0.5,2,5,0.4,1,1,1.0,1,3,4,1,0,0,2,1,23,-32.0,BOS,1,0,2017,20170525
Jae Crowder,3,8,0.375,0,1,0.0,5,7,0.714,1,5,6,3,0,1,0,4,11,-17.0,BOS,1,0,2017,20170525
Al Horford,4,8,0.5,0,0,0.0,0,0,0.0,2,1,3,1,0,0,3,3,8,-30.0,BOS,1,0,2017,20170525
Marcus Smart,2,7,0.286,2,5,0.4,0,0,0.0,1,4,5,2,1,0,5,3,6,-24.0,BOS,1,0,2017,20170525
Kelly Olynyk,2,8,0.25,1,2,0.5,2,2,1.0,3,1,4,2,1,1,2,1,7,-21.0,BOS,1,0,2017,20170525
Terry Rozier,4,13,0.308,0,5,0.0,2,3,0.667,1,3,4,7,2,0,1,3,10,-15.0,BOS,1,0,2017,20170525
Gerald Green,4,8,0.5,3,6,0.5,3,3,1.0,0,2,2,0,2,1,1,3,14,-2.0,BOS,1,0,2017,20170525
Tyler Zeller,2,3,0.667,0,0,0.0,0,0,0.0,1,2,3,2,0,1,1,1,4,2.0,BOS,1,0,2017,20170525
James Young,2,4,0.5,2,4,0.5,0,0,0.0,0,3,3,1,0,0,0,0,6,2.0,BOS,1,0,2017,20170525
Jaylen Brown,2,3,0.667,0,0,0.0,3,5,0.6,0,0,0,1,0,0,1,0,7,-13.0,BOS,1,0,2017,20170525
Jonas Jerebko,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,0,1,0,2,2,3,-9.0,BOS,1,0,2017,20170525
Jordan Mickey,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2,2,4.0,BOS,1,0,2017,20170525
Amir Johnson,0,0,0.0,0,0,0.0,1,2,0.5,2,1,3,0,0,0,0,0,1,-10.0,BOS,1,0,2017,20170525
Eric Gordon,4,13,.308,1,6,.167,2,4,.500,1,5,6,3,0,0,2,2,11,+4,HOU,0,0,2017,20170509
James Harden,11,24,.458,4,15,.267,7,8,.875,1,9,10,10,1,1,9,4,33,-6,HOU,0,0,2017,20170509
Patrick Beverley,6,10,.600,5,7,.714,3,3,1.000,2,3,5,1,0,0,2,5,20,-7,HOU,0,0,2017,20170509
Trevor Ariza,3,10,.300,3,8,.375,0,0,0,0,8,8,1,1,1,0,3,9,-9,HOU,0,0,2017,20170509
Clint Capela,4,8,.500,0,1,.000,1,2,.500,3,8,11,1,1,3,0,4,9,-3,HOU,0,0,2017,20170509
Ryan Anderson,7,11,.636,3,6,.500,2,4,.500,2,4,6,1,0,0,1,5,19,+5,HOU,0,0,2017,20170509
Lou Williams,3,10,.300,0,5,.000,0,0,0,0,1,1,4,1,0,1,0,6,+1,HOU,0,0,2017,20170509
Patty Mills,7,16,.438,5,12,.417,1,2,.500,1,0,1,4,1,0,1,2,20,+8,SAS,1,1,2017,20170509
LaMarcus Aldridge,7,21,.333,0,1,.000,4,7,.571,9,5,14,1,1,0,2,2,18,+4,SAS,1,1,2017,20170509
Danny Green,5,11,.455,4,8,.500,2,3,.667,1,4,5,3,0,0,1,3,16,-5,SAS,1,1,2017,20170509
Kawhi Leonard,8,21,.381,1,4,.250,5,6,.833,3,12,15,4,2,2,2,1,22,-2,SAS,1,1,2017,20170509
Pau Gasol,2,5,.400,0,0,0,0,0,0,1,4,5,2,0,1,1,2,4,-3,SAS,1,1,2017,20170509
Jonathon Simmons,5,14,.357,0,4,.000,2,3,.667,1,1,2,2,3,0,0,2,12,+2,SAS,1,1,2017,20170509
Manu Ginóbili,5,11,.455,1,4,.250,1,2,.500,1,6,7,5,0,1,0,2,12,+8,SAS,1,1,2017,20170509
David Lee,3,4,.750,0,0,0,0,0,0,1,2,3,0,0,1,0,2,6,+3,SAS,1,1,2017,20170509
Kyle Anderson,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,SAS,1,1,2017,20170509
Russell Westbrook,15,34,.441,5,18,.278,12,17,.706,5,6,11,9,0,0,7,5,47,+12,OKC,0,0,2017,20170425
Steven Adams,3,4,.750,0,0,0,1,2,.500,6,3,9,1,2,4,1,4,7,+10,OKC,0,0,2017,20170425
Andre Roberson,1,7,.143,0,3,.000,1,4,.250,3,2,5,4,4,3,2,5,3,+5,OKC,0,0,2017,20170425
Victor Oladipo,4,17,.235,2,6,.333,0,0,0,0,6,6,0,1,0,2,3,10,-2,OKC,0,0,2017,20170425
Taj Gibson,4,7,.571,0,0,0,2,2,1.000,1,7,8,0,0,0,1,3,10,+13,OKC,0,0,2017,20170425
Jerami Grant,4,8,.500,1,3,.333,2,2,1.000,3,2,5,1,0,0,0,0,11,-24,OKC,0,0,2017,20170425
Álex Abrines,4,11,.364,2,7,.286,1,2,.500,0,3,3,0,0,0,0,4,11,-24,OKC,0,0,2017,20170425
Doug McDermott,0,1,.000,0,1,.000,0,0,0,0,2,2,1,0,0,0,1,0,-12,OKC,0,0,2017,20170425
Enes Freedom,0,2,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-6,OKC,0,0,2017,20170425
Norris Cole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,OKC,0,0,2017,20170425
James Harden,8,25,.320,2,13,.154,16,17,.941,1,7,8,4,3,2,5,4,34,-6,HOU,1,1,2017,20170425
Trevor Ariza,1,6,.167,0,5,.000,0,0,0,1,1,2,2,0,0,0,5,2,-8,HOU,1,1,2017,20170425
Patrick Beverley,6,10,.600,1,1,1.000,2,2,1.000,5,3,8,3,1,0,2,4,15,+10,HOU,1,1,2017,20170425
Ryan Anderson,1,6,.167,0,3,.000,0,0,0,0,2,2,1,0,0,0,1,2,+11,HOU,1,1,2017,20170425
Clint Capela,2,3,.667,0,0,0,4,6,.667,3,6,9,0,1,4,1,3,8,+7,HOU,1,1,2017,20170425
Eric Gordon,3,10,.300,1,8,.125,1,2,.500,0,6,6,2,0,0,0,2,8,+1,HOU,1,1,2017,20170425
Lou Williams,7,14,.500,2,6,.333,6,6,1.000,0,5,5,1,1,0,1,1,22,+16,HOU,1,1,2017,20170425
Nenê,5,8,.625,0,1,.000,4,6,.667,0,7,7,0,1,0,3,3,14,-1,HOU,1,1,2017,20170425
Isaiah Thomas,3,8,0.375,0,2,0.0,7,11,0.636,0,3,3,4,0,0,2,3,13,-19.0,BOS,0,0,2017,20170504
Avery Bradley,3,8,0.375,1,4,0.25,0,0,0.0,0,3,3,3,0,0,0,2,7,-25.0,BOS,0,0,2017,20170504
Al Horford,5,8,0.625,4,5,0.8,2,2,1.0,0,2,2,3,1,1,2,4,16,-23.0,BOS,0,0,2017,20170504
Gerald Green,3,8,0.375,1,3,0.333,1,1,1.0,0,3,3,0,0,0,0,3,8,-7.0,BOS,0,0,2017,20170504
Jae Crowder,4,10,0.4,2,4,0.5,4,4,1.0,0,6,6,1,2,0,0,3,14,-18.0,BOS,0,0,2017,20170504
Marcus Smart,2,9,0.222,1,4,0.25,4,5,0.8,2,2,4,2,1,1,8,2,9,-19.0,BOS,0,0,2017,20170504
Jaylen Brown,3,9,0.333,0,3,0.0,0,1,0.0,2,1,3,1,0,0,1,3,6,-12.0,BOS,0,0,2017,20170504
Kelly Olynyk,0,3,0.0,0,2,0.0,1,2,0.5,0,1,1,1,0,0,1,1,1,2.0,BOS,0,0,2017,20170504
Tyler Zeller,0,3,0.0,0,0,0.0,3,4,0.75,0,4,4,1,0,0,0,1,3,-6.0,BOS,0,0,2017,20170504
Amir Johnson,1,2,0.5,0,0,0.0,1,1,1.0,2,2,4,1,0,0,0,1,3,-1.0,BOS,0,0,2017,20170504
James Young,1,4,0.25,1,3,0.333,0,0,0.0,1,0,1,1,0,0,1,0,3,-1.0,BOS,0,0,2017,20170504
Jonas Jerebko,1,3,0.333,0,2,0.0,2,2,1.0,1,2,3,0,0,0,0,1,4,3.0,BOS,0,0,2017,20170504
Terry Rozier,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,2,2,-9.0,BOS,0,0,2017,20170504
Otto Porter Jr.,8,13,0.615,0,3,0.0,3,4,0.75,1,7,8,2,3,0,1,2,19,16.0,WAS,1,1,2017,20170504
John Wall,7,19,0.368,1,5,0.2,9,10,0.9,1,0,1,8,2,1,1,1,24,25.0,WAS,1,1,2017,20170504
Marcin Gortat,6,12,0.5,0,0,0.0,1,1,1.0,4,12,16,2,0,1,3,4,13,22.0,WAS,1,1,2017,20170504
Bradley Beal,4,12,0.333,1,4,0.25,2,2,1.0,3,0,3,3,0,1,0,4,11,17.0,WAS,1,1,2017,20170504
Markieff Morris,3,7,0.429,0,0,0.0,4,4,1.0,1,4,5,1,1,0,1,2,10,17.0,WAS,1,1,2017,20170504
Bojan Bogdanović,6,12,0.5,4,7,0.571,3,4,0.75,2,8,10,2,0,0,0,2,19,10.0,WAS,1,1,2017,20170504
Brandon Jennings,2,5,0.4,0,2,0.0,0,0,0.0,0,2,2,2,0,0,1,2,4,10.0,WAS,1,1,2017,20170504
Tomáš Satoranský,1,3,0.333,0,0,0.0,0,0,0.0,1,2,3,2,0,0,0,0,2,1.0,WAS,1,1,2017,20170504
Trey Burke,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,3,0,0,0,2,0,1.0,WAS,1,1,2017,20170504
Ian Mahinmi,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,1,2,1,3,2,1.0,WAS,1,1,2017,20170504
Jason Smith,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,2,4.0,WAS,1,1,2017,20170504
Kelly Oubre Jr.,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,2,3.0,WAS,1,1,2017,20170504
Sheldon Mac,3,3,1.0,2,2,1.0,0,0,0.0,0,0,0,0,0,0,0,0,8,8.0,WAS,1,1,2017,20170504
LaMarcus Aldridge,5,8,0.625,0,1,0.0,6,10,0.6,3,8,11,2,0,1,1,0,16,-12.0,SAS,0,0,2017,20170420
Kawhi Leonard,6,11,0.545,2,4,0.5,4,4,1.0,0,4,4,3,0,1,1,2,18,-7.0,SAS,0,0,2017,20170420
Danny Green,3,9,0.333,0,4,0.0,0,0,0.0,3,1,4,0,0,0,0,4,6,-15.0,SAS,0,0,2017,20170420
Tony Parker,0,4,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-6.0,SAS,0,0,2017,20170420
Dewayne Dedmon,1,1,1.0,0,0,0.0,0,2,0.0,1,2,3,0,0,0,2,2,2,6.0,SAS,0,0,2017,20170420
Pau Gasol,2,9,0.222,0,2,0.0,2,4,0.5,4,4,8,1,0,1,0,0,6,-12.0,SAS,0,0,2017,20170420
Patty Mills,4,8,0.5,3,5,0.6,0,0,0.0,0,2,2,1,1,0,2,3,11,-16.0,SAS,0,0,2017,20170420
Kyle Anderson,6,7,0.857,1,1,1.0,2,3,0.667,1,0,1,3,0,0,2,0,15,3.0,SAS,0,0,2017,20170420
Jonathon Simmons,4,5,0.8,2,3,0.667,0,2,0.0,0,2,2,3,0,0,1,1,10,2.0,SAS,0,0,2017,20170420
David Lee,0,3,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,5,0,-9.0,SAS,0,0,2017,20170420
Dāvis Bertāns,2,4,0.5,2,3,0.667,0,0,0.0,0,0,0,0,0,0,0,0,6,7.0,SAS,0,0,2017,20170420
Manu Ginóbili,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0,-7.0,SAS,0,0,2017,20170420
Dejounte Murray,1,1,1.0,0,0,0.0,2,3,0.667,0,3,3,1,0,0,1,3,4,11.0,SAS,0,0,2017,20170420
Vince Carter,2,4,.500,0,1,.000,0,0,0,0,4,4,2,0,0,0,1,4,+10,MEM,1,1,2017,20170420
Marc Gasol,8,14,.571,2,2,1.000,3,4,.750,1,5,6,3,0,1,1,4,21,+11,MEM,1,1,2017,20170420
Mike Conley,7,13,.538,2,5,.400,8,8,1.000,0,1,1,8,0,0,2,0,24,+20,MEM,1,1,2017,20170420
Zach Randolph,9,16,.563,1,2,.500,2,2,1.000,0,8,8,0,0,1,0,2,21,+5,MEM,1,1,2017,20170420
James Ennis III,4,6,.667,1,3,.333,3,4,.750,0,2,2,1,1,0,1,4,12,0,MEM,1,1,2017,20170420
Wayne Selden,4,9,.444,2,4,.500,0,0,0,1,1,2,1,0,1,0,4,10,+11,MEM,1,1,2017,20170420
Andrew Harrison,1,6,.167,1,3,.333,2,2,1.000,1,1,2,6,1,0,1,3,5,+2,MEM,1,1,2017,20170420
JaMychal Green,4,7,.571,0,2,.000,0,0,0,2,4,6,0,0,0,0,4,8,+17,MEM,1,1,2017,20170420
