Player,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Tm,Home,Win,season,date
Daniel Ochefu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,0,0,2017,20170430
Avery Bradley,7,20,.350,3,9,.333,1,1,1.000,3,2,5,4,4,0,1,5,18,+7,BOS,1,1,2017,20170430
Isaiah Thomas,11,23,.478,5,11,.455,6,7,.857,0,1,1,9,0,1,2,0,33,0,BOS,1,1,2017,20170430
Jae Crowder,8,14,.571,6,8,.750,2,2,1.000,2,4,6,1,1,0,0,3,24,+26,BOS,1,1,2017,20170430
Al Horford,10,13,.769,1,3,.333,0,0,0,5,4,9,10,0,1,3,3,21,+21,BOS,1,1,2017,20170430
Gerald Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,BOS,1,1,2017,20170430
Marcus Smart,2,5,.400,1,3,.333,1,2,.500,0,3,3,4,3,3,2,4,6,+12,BOS,1,1,2017,20170430
Kelly Olynyk,5,7,.714,2,2,1.000,0,1,.000,0,4,4,2,0,0,2,4,12,+4,BOS,1,1,2017,20170430
Terry Rozier,1,3,.333,0,2,.000,2,2,1.000,2,6,8,1,0,1,0,4,4,+13,BOS,1,1,2017,20170430
Amir Johnson,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,-7,BOS,1,1,2017,20170430
Jaylen Brown,2,3,.667,1,1,1.000,0,0,0,0,2,2,1,0,0,1,0,5,+8,BOS,1,1,2017,20170430
Jonas Jerebko,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,BOS,1,1,2017,20170430
James Young,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,1,1,2017,20170430
Bradley Beal,12,22,.545,5,10,.500,9,10,.900,1,3,4,2,2,0,2,2,38,-11,WAS,0,0,2017,20170515
John Wall,8,23,.348,1,8,.125,1,2,.500,2,5,7,11,0,0,3,1,18,-11,WAS,0,0,2017,20170515
Markieff Morris,7,14,.500,3,6,.500,1,2,.500,3,7,10,2,1,1,3,4,18,+2,WAS,0,0,2017,20170515
Otto Porter Jr.,6,10,.600,0,2,.000,8,8,1.000,1,9,10,2,2,1,1,1,20,+3,WAS,0,0,2017,20170515
Marcin Gortat,2,6,.333,0,0,0,2,3,.667,3,7,10,0,1,1,4,3,6,+9,WAS,0,0,2017,20170515
Bojan Bogdanović,1,2,.500,1,2,.500,2,2,1.000,0,1,1,0,0,0,0,0,5,-21,WAS,0,0,2017,20170515
Ian Mahinmi,0,1,.000,0,0,0,0,2,.000,0,0,0,1,0,1,1,4,0,-10,WAS,0,0,2017,20170515
Brandon Jennings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,+2,WAS,0,0,2017,20170515
Jason Smith,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-13,WAS,0,0,2017,20170515
Sheldon Mac,0,2,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,0,0,2017,20170515
Tomáš Satoranský,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,0,0,2017,20170515
Kelly Oubre Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,0,0,2017,20170515
Isaiah Thomas,9,21,.429,3,5,.600,8,9,.889,1,1,2,12,1,0,2,2,29,+8,BOS,1,1,2017,20170515
Al Horford,6,10,.600,2,2,1.000,1,3,.333,1,5,6,5,1,0,1,0,15,+14,BOS,1,1,2017,20170515
Avery Bradley,3,9,.333,1,4,.250,2,2,1.000,1,2,3,1,1,1,1,3,9,+4,BOS,1,1,2017,20170515
Jae Crowder,7,12,.583,0,2,.000,0,0,0,0,5,5,0,1,0,1,3,14,-1,BOS,1,1,2017,20170515
Amir Johnson,0,1,.000,0,0,0,0,0,0,1,0,1,0,1,0,2,3,0,-2,BOS,1,1,2017,20170515
Marcus Smart,4,7,.571,2,2,1.000,3,4,.750,0,6,6,4,0,2,0,4,13,+14,BOS,1,1,2017,20170515
Kelly Olynyk,10,14,.714,2,6,.333,4,5,.800,0,4,4,4,0,0,1,5,26,+3,BOS,1,1,2017,20170515
Jaylen Brown,3,5,.600,1,3,.333,2,2,1.000,0,3,3,0,1,0,0,3,9,+10,BOS,1,1,2017,20170515
Terry Rozier,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,BOS,1,1,2017,20170515
James Young,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,1,1,2017,20170515
LeBron James,9,16,.563,2,4,.500,15,16,.938,0,8,8,7,1,0,5,1,35,+20,CLE,0,1,2017,20170505
Tristan Thompson,3,6,.500,0,0,0,3,5,.600,4,7,11,0,0,1,0,2,9,+16,CLE,0,1,2017,20170505
Kyrie Irving,7,21,.333,1,5,.200,1,1,1.000,1,4,5,4,0,0,1,1,16,+1,CLE,0,1,2017,20170505
Kevin Love,6,9,.667,1,1,1.000,3,4,.750,1,13,14,0,0,1,4,2,16,+1,CLE,0,1,2017,20170505
J.R. Smith,3,5,.600,3,5,.600,0,0,0,0,1,1,0,0,1,2,5,9,+1,CLE,0,1,2017,20170505
Iman Shumpert,1,5,.200,0,0,0,2,2,1.000,2,2,4,2,1,0,0,4,4,+27,CLE,0,1,2017,20170505
Kyle Korver,5,7,.714,4,6,.667,0,0,0,0,3,3,0,0,3,0,2,14,+13,CLE,0,1,2017,20170505
Deron Williams,2,4,.500,0,0,0,0,0,0,0,1,1,2,0,0,3,2,4,+19,CLE,0,1,2017,20170505
Channing Frye,1,1,1.000,1,1,1.000,0,0,0,0,2,2,0,0,1,0,0,3,+5,CLE,0,1,2017,20170505
Derrick Williams,2,2,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,1,0,5,0,CLE,0,1,2017,20170505
Dahntay Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,+1,CLE,0,1,2017,20170505
James Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+1,CLE,0,1,2017,20170505
DeMar DeRozan,12,23,.522,0,0,0,13,13,1.000,0,2,2,3,3,0,0,3,37,-12,TOR,1,0,2017,20170505
Norman Powell,6,19,.316,1,7,.143,0,0,0,0,3,3,2,2,0,2,3,13,-25,TOR,1,0,2017,20170505
Serge Ibaka,6,14,.429,0,3,.000,0,0,0,0,2,2,0,0,2,0,4,12,-13,TOR,1,0,2017,20170505
Cory Joseph,2,12,.167,0,4,.000,0,0,0,0,3,3,6,1,1,0,2,4,-9,TOR,1,0,2017,20170505
Jonas Valančiūnas,8,10,.800,0,0,0,3,4,.750,1,7,8,0,0,0,1,3,19,-5,TOR,1,0,2017,20170505
Patrick Patterson,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,-19,TOR,1,0,2017,20170505
P.J. Tucker,2,4,.500,1,2,.500,0,0,0,0,5,5,1,1,0,0,4,5,-9,TOR,1,0,2017,20170505
Delon Wright,1,2,.500,0,1,.000,0,0,0,0,0,0,3,2,0,1,0,2,-10,TOR,1,0,2017,20170505
Fred VanVleet,1,2,.500,0,1,.000,0,0,0,0,0,0,1,0,0,0,0,2,-2,TOR,1,0,2017,20170505
DeMarre Carroll,0,1,.000,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-1,TOR,1,0,2017,20170505
