Player,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Tm,Home,Win,season,date
Jason Smith,5,5,1.000,0,0,0,0,0,0,0,1,1,1,0,0,1,1,10,-8,ORL,1,0,2016,20151220
Mario Hezonja,2,2,1.000,0,0,0,0,0,0,0,1,1,0,1,0,0,2,4,-15,ORL,1,0,2016,20151220
Isaiah Thomas,9,19,0.474,4,7,0.571,5,5,1.0,1,0,1,7,2,0,5,1,27,1.0,BOS,0,0,2016,20151104
Avery Bradley,8,16,0.5,3,8,0.375,2,2,1.0,2,3,5,3,1,0,2,3,21,-8.0,BOS,0,0,2016,20151104
Jae Crowder,3,5,0.6,1,2,0.5,5,8,0.625,0,6,6,1,2,0,2,1,12,-7.0,BOS,0,0,2016,20151104
Jared Sullinger,3,10,0.3,1,3,0.333,2,2,1.0,6,5,11,2,2,2,1,3,9,2.0,BOS,0,0,2016,20151104
Amir Johnson,0,2,0.0,0,1,0.0,2,2,1.0,0,4,4,1,0,0,2,3,2,-4.0,BOS,0,0,2016,20151104
Evan Turner,5,10,0.5,1,2,0.5,0,0,0.0,0,4,4,4,0,1,1,1,11,-2.0,BOS,0,0,2016,20151104
David Lee,4,6,0.667,0,0,0.0,2,3,0.667,2,4,6,1,0,0,1,2,10,5.0,BOS,0,0,2016,20151104
Jonas Jerebko,2,2,1.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,1,2,4,-1.0,BOS,0,0,2016,20151104
R.J. Hunter,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,4,2,8.0,BOS,0,0,2016,20151104
Kelly Olynyk,0,5,0.0,0,2,0.0,0,0,0.0,1,1,2,0,0,2,1,1,0,-3.0,BOS,0,0,2016,20151104
Terry Rozier,0,4,0.0,0,1,0.0,0,0,0.0,1,4,5,0,0,0,2,1,0,0.0,BOS,0,0,2016,20151104
Tyler Zeller,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,-1.0,BOS,0,0,2016,20151104
George Hill,2,10,.200,1,4,.250,5,8,.625,0,2,2,4,3,0,3,2,10,-4,IND,1,1,2016,20151104
Monta Ellis,5,15,.333,1,4,.250,2,2,1.000,1,4,5,8,1,0,3,2,13,+15,IND,1,1,2016,20151104
Paul George,8,18,.444,5,11,.455,5,6,.833,3,7,10,3,2,0,2,4,26,+13,IND,1,1,2016,20151104
Jordan Hill,7,14,.500,0,0,0,2,2,1.000,4,6,10,0,2,0,2,2,16,0,IND,1,1,2016,20151104
Lavoy Allen,3,8,.375,0,0,0,1,2,.500,6,5,11,1,0,0,1,5,7,-1,IND,1,1,2016,20151104
Rodney Stuckey,3,10,.300,1,1,1.000,0,0,0,2,3,5,0,0,0,1,3,7,-5,IND,1,1,2016,20151104
Glenn Robinson III,3,4,.750,0,0,0,4,5,.800,1,1,2,0,1,0,1,0,10,-4,IND,1,1,2016,20151104
Chase Budinger,2,6,.333,0,3,.000,0,0,0,1,3,4,1,1,0,1,1,4,-4,IND,1,1,2016,20151104
Myles Turner,2,6,.333,0,0,0,3,4,.750,3,1,4,1,0,1,0,1,7,0,IND,1,1,2016,20151104
LaMarcus Aldridge,4,10,.400,0,1,.000,5,6,.833,3,4,7,1,0,1,3,2,13,-15,SAS,0,0,2016,20151209
Tony Parker,2,7,.286,0,2,.000,0,0,0,1,3,4,3,2,0,1,1,4,-8,SAS,0,0,2016,20151209
Kawhi Leonard,3,8,.375,1,2,.500,0,1,.000,3,3,6,2,1,1,2,1,7,-14,SAS,0,0,2016,20151209
Danny Green,4,11,.364,2,7,.286,0,0,0,1,3,4,1,3,0,1,1,10,-11,SAS,0,0,2016,20151209
Tim Duncan,4,8,.500,0,0,0,0,0,0,2,0,2,2,0,0,1,1,8,-12,SAS,0,0,2016,20151209
Manu Ginóbili,5,11,.455,1,6,.167,6,8,.750,1,3,4,3,2,0,2,5,17,+9,SAS,0,0,2016,20151209
Patty Mills,1,5,.200,1,3,.333,0,0,0,1,1,2,6,1,0,1,0,3,+10,SAS,0,0,2016,20151209
Boris Diaw,3,5,.600,0,2,.000,3,3,1.000,1,1,2,0,0,0,2,2,9,+5,SAS,0,0,2016,20151209
David West,4,6,.667,0,0,0,2,3,.667,0,3,3,1,0,0,2,2,10,+7,SAS,0,0,2016,20151209
Jonathon Simmons,2,2,1.000,1,1,1.000,3,3,1.000,0,0,0,2,0,0,2,4,8,+10,SAS,0,0,2016,20151209
Kyle Anderson,2,3,.667,1,1,1.000,0,0,0,0,1,1,2,0,0,0,0,5,+1,SAS,0,0,2016,20151209
Matt Bonner,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,+3,SAS,0,0,2016,20151209
DeMar DeRozan,10,15,.667,0,0,0,8,8,1.000,1,3,4,6,1,1,6,3,28,+3,TOR,1,1,2016,20151209
Kyle Lowry,6,11,.545,1,3,.333,6,6,1.000,0,5,5,8,1,0,4,2,19,+5,TOR,1,1,2016,20151209
Luis Scola,8,14,.571,0,1,.000,0,1,.000,1,7,8,1,1,0,2,4,16,+16,TOR,1,1,2016,20151209
Terrence Ross,3,5,.600,0,1,.000,0,0,0,0,3,3,0,0,1,3,3,6,+11,TOR,1,1,2016,20151209
Bismack Biyombo,5,7,.714,0,0,0,0,1,.000,2,5,7,0,0,0,0,4,10,-3,TOR,1,1,2016,20151209
Patrick Patterson,3,5,.600,2,4,.500,2,2,1.000,0,4,4,1,3,0,2,2,10,-7,TOR,1,1,2016,20151209
