Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
Clint Capela,C,22,HOU,11,286,21.1,.585,.012,.476,10.1,25.8,18.1,6.9,1.4,7.5,7.5,16.5,,0.6,0.6,1.2,.199,,2.4,2.1,4.4,0.5,2017
DeMarre Carroll,SF,30,TOR,10,155,10.4,.513,.595,.243,3.2,17.8,10.5,5.1,2.7,2.9,10.9,13.9,,-0.1,0.2,0.2,.060,,-1.3,2.2,0.9,0.1,2017
Vince Carter,SF,40,MEM,6,195,8.1,.610,.476,.167,2.6,10.6,6.6,7.6,0.6,0.0,18.2,14.2,,0.1,-0.1,0.0,-0.001,,-1.2,-1.4,-2.6,0.0,2017
Michael Carter-Williams,PG,25,CHI,5,53,3.4,.418,.067,.267,2.1,6.2,4.2,17.6,2.0,1.9,26.4,19.3,,-0.2,0.0,-0.1,-0.111,,-6.9,-0.4,-7.3,-0.1,2017
Semaj Christon,PG,24,OKC,2,21,15.2,.500,.600,.000,0.0,16.3,7.7,33.6,2.3,0.0,0.0,10.2,,0.0,0.0,0.1,.140,,0.3,2.8,3.1,0.0,2017
Ian Clark,SG,25,GSW,16,219,13.6,.630,.456,.215,2.1,10.1,6.4,7.1,1.3,0.0,11.3,19.1,,0.3,0.3,0.6,.122,,-0.6,-0.3,-0.9,0.1,2017
Norris Cole,PG,28,OKC,4,25,-4.6,.313,.500,.000,0.0,4.6,2.2,5.5,0.0,3.8,20.0,17.1,,-0.1,0.0,-0.1,-0.203,,-10.4,-3.8,-14.2,-0.1,2017
Mike Conley,PG,29,MEM,6,224,27.4,.620,.369,.359,0.6,11.0,5.8,38.5,2.5,1.2,9.1,29.4,,0.9,0.1,1.0,.204,,9.3,1.7,11.0,0.7,2017
Pat Connaughton,SG,24,POR,3,24,10.4,.339,.667,.333,4.1,28.6,15.5,25.4,0.0,0.0,0.0,17.9,,0.0,0.0,0.0,-0.034,,-0.5,-1.2,-1.7,0.0,2017
Allen Crabbe,SG,24,POR,4,92,3.7,.434,.542,.125,0.0,14.9,6.9,3.4,0.5,0.0,3.8,11.9,,-0.1,0.0,-0.1,-0.043,,-4.4,-1.7,-6.2,-0.1,2017
Jamal Crawford,SG,36,LAC,7,196,10.6,.498,.301,.145,1.3,4.7,2.9,11.4,1.1,0.5,9.3,23.9,,-0.1,0.2,0.1,.012,,-0.8,-1.2,-2.0,0.0,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Jae Crowder,SF,26,BOS,18,596,14.5,.554,.440,.240,3.8,19.3,11.3,12.4,1.6,0.9,5.1,17.7,,0.9,0.4,1.3,.108,,0.4,-0.1,0.3,0.3,2017
Stephen Curry,PG,28,GSW,17,601,27.1,.659,.551,.365,4.2,14.1,9.5,29.5,2.7,0.5,13.8,30.0,,2.3,1.1,3.4,.272,,8.3,1.4,9.7,1.8,2017
Troy Daniels,SG,25,MEM,6,68,4.7,.500,1.000,.000,1.9,7.6,4.8,4.4,1.6,0.0,18.2,8.1,,0.0,0.0,0.0,-0.033,,-1.5,-1.2,-2.7,0.0,2017
