Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Steven Adams,C,25,OKC,5,5,31.8,5.6,8.4,.667,0.0,0.2,.000,5.6,8.2,.683,.667,0.6,1.6,.375,2.4,4.8,7.2,1.4,1.0,1.0,1.8,2.6,11.8,2019
LaMarcus Aldridge,C,33,SAS,7,7,34.9,7.9,17.3,.455,0.4,1.6,.273,7.4,15.7,.473,.467,3.9,4.7,.818,2.7,6.9,9.6,2.7,0.7,1.0,1.0,3.0,20.0,2019
Grayson Allen,SG,23,UTA,2,0,7.0,1.0,3.5,.286,0.0,1.5,.000,1.0,2.0,.500,.286,2.5,3.5,.714,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.5,2019
Jarrett Allen,C,20,BRK,5,5,22.0,3.8,6.4,.594,0.0,0.0,,3.8,6.4,.594,.594,3.4,4.0,.850,3.0,3.8,6.8,2.2,0.6,0.6,1.6,2.6,11.0,2019
Al-Farouq Aminu,PF,28,POR,16,16,24.9,2.4,6.8,.349,0.9,3.2,.294,1.4,3.6,.397,.417,1.7,2.3,.750,1.8,4.4,6.3,1.3,0.6,0.6,1.0,2.1,7.4,2019
Giannis Antetokounmpo,PF,24,MIL,15,15,34.3,8.6,17.5,.492,1.2,3.7,.327,7.4,13.8,.536,.527,7.1,11.2,.637,2.5,9.8,12.3,4.9,1.1,2.0,3.3,3.2,25.5,2019
D.J. Augustin,PG,31,ORL,5,5,28.2,4.0,8.2,.488,2.0,4.2,.476,2.0,4.0,.500,.610,2.8,3.2,.875,0.2,1.4,1.6,3.8,0.4,0.2,1.4,1.4,12.8,2019
Will Barton,SF,28,DEN,14,3,23.4,3.4,9.6,.348,1.1,3.9,.273,2.3,5.7,.400,.404,1.3,1.9,.692,1.1,3.7,4.8,1.7,0.3,0.6,0.9,1.4,9.1,2019
Aron Baynes,C,32,BOS,9,5,12.8,0.9,1.6,.571,0.2,0.7,.333,0.7,0.9,.750,.643,0.1,0.2,.500,0.7,2.1,2.8,0.3,0.3,0.3,0.6,2.2,2.1,2019
Malik Beasley,SG,22,DEN,14,0,20.1,2.6,6.6,.387,1.4,3.4,.404,1.2,3.3,.370,.489,1.6,2.2,.710,0.8,2.6,3.4,1.0,0.2,0.1,0.5,1.4,8.1,2019
Marco Belinelli,SG,32,SAS,7,0,18.7,2.0,5.4,.368,1.1,3.0,.381,0.9,2.4,.353,.474,0.7,0.9,.833,0.0,1.9,1.9,1.1,0.0,0.3,0.3,1.0,5.9,2019
Jordan Bell,C,24,GSW,15,2,7.1,1.1,2.1,.548,0.0,0.0,,1.1,2.1,.548,.548,0.5,0.7,.700,0.5,0.8,1.3,0.7,0.3,0.5,0.1,0.9,2.7,2019
Dāvis Bertāns,PF,26,SAS,5,0,15.8,1.0,3.0,.333,0.6,2.2,.273,0.4,0.8,.500,.433,0.6,1.0,.600,0.0,1.6,1.6,1.0,0.0,0.2,0.2,2.0,3.2,2019
Patrick Beverley,PG,30,LAC,6,6,32.5,3.3,7.8,.426,2.2,5.0,.433,1.2,2.8,.412,.564,1.0,1.3,.750,1.3,6.7,8.0,4.7,1.0,1.0,1.7,3.5,9.8,2019
Khem Birch,C,26,ORL,5,0,18.4,2.0,3.6,.556,0.0,0.0,,2.0,3.6,.556,.556,1.2,1.4,.857,1.8,4.4,6.2,0.8,0.2,1.0,1.2,1.6,5.2,2019
Eric Bledsoe,PG,29,MIL,15,15,28.2,5.1,12.3,.411,1.1,4.8,.236,3.9,7.5,.522,.457,2.4,3.4,.706,1.3,2.4,3.7,4.3,1.1,0.4,2.2,1.9,13.7,2019
Bojan Bogdanović,SF,29,IND,4,4,37.0,6.3,15.8,.397,1.8,5.5,.318,4.5,10.3,.439,.452,3.8,4.3,.882,0.8,5.0,5.8,2.8,2.0,0.0,1.5,1.8,18.0,2019
Andrew Bogut,C,34,GSW,19,6,9.4,1.3,1.9,.649,0.0,0.0,,1.3,1.9,.649,.649,0.2,0.3,.800,1.2,2.7,3.9,1.1,0.3,0.3,0.5,2.0,2.7,2019
Jonah Bolden,PF,23,PHI,10,0,7.9,0.5,1.9,.263,0.4,1.6,.250,0.1,0.3,.333,.368,0.2,0.4,.500,0.4,1.0,1.4,0.3,0.2,0.1,0.9,1.2,1.6,2019
Chris Boucher,PF,26,TOR,2,0,2.0,1.0,2.5,.400,0.5,1.5,.333,0.5,1.0,.500,.500,0.0,0.5,.000,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,2.5,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Malcolm Brogdon,SG,26,MIL,7,2,28.3,5.0,11.1,.449,2.0,5.3,.378,3.0,5.9,.512,.538,1.0,1.6,.636,0.9,4.0,4.9,3.4,0.7,0.1,1.4,2.3,13.0,2019
Bruce Brown,SG,22,DET,4,2,14.3,1.3,3.5,.357,0.3,1.3,.200,1.0,2.3,.444,.393,0.5,0.5,1.000,0.3,1.8,2.0,0.5,0.5,0.3,0.5,2.0,3.3,2019
Jaylen Brown,SG,22,BOS,9,9,30.4,4.9,9.7,.506,1.6,4.4,.350,3.3,5.2,.638,.586,2.6,3.3,.767,0.7,5.1,5.8,1.1,0.7,0.2,1.7,3.3,13.9,2019
Sterling Brown,SG,23,MIL,11,5,14.7,1.4,3.5,.395,0.6,1.9,.333,0.7,1.5,.471,.487,0.7,1.0,.727,0.4,2.4,2.7,1.7,0.5,0.3,0.7,1.5,4.1,2019
Deonte Burton,SG,25,OKC,3,0,1.3,0.3,1.7,.200,0.0,0.7,.000,0.3,1.0,.333,.200,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.7,2019
Jimmy Butler,SF,29,PHI,12,12,35.1,6.6,14.6,.451,1.0,3.8,.267,5.6,10.8,.515,.486,5.3,6.0,.875,1.8,4.3,6.1,5.2,1.4,0.6,1.8,1.7,19.4,2019
José Calderón,PG,37,DET,3,0,3.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.7,0.3,0.0,0.0,0.0,0.0,2019
Clint Capela,C,24,HOU,11,11,30.1,4.2,7.5,.561,0.0,0.0,,4.2,7.5,.561,.561,1.4,3.2,.429,3.7,6.5,10.3,1.5,0.3,1.1,1.5,2.4,9.7,2019
DeMarre Carroll,PF,32,BRK,5,3,23.8,1.8,7.6,.237,1.4,4.8,.292,0.4,2.8,.143,.329,1.6,1.6,1.000,1.2,2.8,4.0,0.4,0.8,0.0,0.6,1.6,6.6,2019
Michael Carter-Williams,PG,27,ORL,5,0,18.4,2.4,6.2,.387,0.4,1.6,.250,2.0,4.6,.435,.419,1.4,1.6,.875,0.4,3.6,4.0,2.4,0.6,0.0,1.6,2.4,6.6,2019
Wilson Chandler,SF,31,LAC,4,0,13.0,1.3,4.0,.313,0.3,2.5,.100,1.0,1.5,.667,.344,1.0,1.0,1.000,0.0,1.5,1.5,0.5,0.5,0.0,0.8,1.8,3.8,2019
Gary Clark,PF,24,HOU,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2019
Zach Collins,C,21,POR,16,0,17.2,2.6,5.1,.506,0.4,1.3,.333,2.1,3.8,.567,.549,1.3,1.6,.800,1.0,2.6,3.6,0.9,0.4,1.4,1.3,3.4,6.8,2019
Darren Collison,PG,31,IND,4,4,29.3,4.8,11.3,.422,1.0,2.8,.364,3.8,8.5,.441,.467,1.5,1.5,1.000,1.0,2.0,3.0,4.0,0.5,0.0,2.5,2.8,12.0,2019
Pat Connaughton,SG,26,MIL,15,0,21.6,2.5,5.1,.481,1.0,2.8,.357,1.5,2.3,.629,.578,0.3,0.5,.500,0.7,5.5,6.2,1.4,0.4,0.9,0.5,0.9,6.2,2019
Quinn Cook,PG,25,GSW,17,0,11.4,1.6,4.1,.400,0.6,2.0,.324,1.0,2.1,.472,.479,0.2,0.2,1.000,0.1,0.9,1.1,0.7,0.2,0.1,0.4,0.8,4.2,2019
DeMarcus Cousins,C,28,GSW,8,5,16.6,2.6,6.6,.396,0.4,1.5,.250,2.3,5.1,.439,.425,2.0,3.1,.640,1.1,3.8,4.9,2.4,0.6,0.8,2.4,3.0,7.6,2019
Torrey Craig,SF,28,DEN,14,11,23.6,2.4,4.9,.478,1.2,2.6,.472,1.1,2.4,.485,.601,0.6,1.1,.563,1.5,3.6,5.1,0.9,0.5,0.4,0.4,2.7,6.6,2019
Jae Crowder,SF,28,UTA,5,3,26.0,3.4,9.2,.370,1.8,6.0,.300,1.6,3.2,.500,.467,2.8,3.8,.737,0.8,5.0,5.8,0.8,1.0,0.0,0.2,1.4,11.4,2019
Dante Cunningham,PF,31,SAS,5,0,2.6,0.4,0.6,.667,0.4,0.4,1.000,0.0,0.2,.000,1.000,0.0,0.0,,0.4,0.8,1.2,0.0,0.0,0.0,0.0,0.0,1.2,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Seth Curry,SG,28,POR,16,0,20.4,1.9,5.1,.366,1.3,3.3,.404,0.6,1.9,.300,.494,0.6,0.7,.818,0.3,1.3,1.6,0.8,0.8,0.3,0.4,1.7,5.6,2019
Stephen Curry,PG,30,GSW,22,22,38.5,8.6,19.6,.441,4.2,11.1,.377,4.5,8.5,.524,.548,6.7,7.1,.943,0.8,5.2,6.0,5.7,1.1,0.2,3.0,3.1,28.2,2019
Ed Davis,C,29,BRK,3,0,13.7,2.3,3.3,.700,0.0,0.0,,2.3,3.3,.700,.700,0.7,0.7,1.000,1.3,5.0,6.3,0.7,0.0,0.3,0.0,3.0,5.3,2019
DeMar DeRozan,SG,29,SAS,7,7,35.9,8.3,17.0,.487,0.0,0.1,.000,8.3,16.9,.492,.487,5.4,6.3,.864,1.4,5.3,6.7,4.6,1.1,0.1,1.7,2.3,22.0,2019
Spencer Dinwiddie,PG,25,BRK,5,0,26.2,5.4,12.4,.435,1.8,4.8,.375,3.6,7.6,.474,.508,2.0,2.8,.714,0.8,1.8,2.6,1.6,0.4,0.0,1.6,2.0,14.6,2019
Andre Drummond,C,25,DET,4,4,31.8,6.0,13.5,.444,0.0,0.3,.000,6.0,13.3,.453,.444,2.3,5.3,.429,5.0,8.0,13.0,2.3,1.5,1.3,2.8,4.3,14.3,2019
