Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
Steven Adams,C,22,OKC,18,553,16.8,.636,.009,.658,12.7,21.6,17.2,3.5,0.8,2.0,10.6,12.6,,1.5,0.6,2.1,.180,,1.5,0.3,1.8,0.5,2016
Cole Aldrich,C,27,LAC,6,77,21.4,.652,.000,.400,10.4,28.1,19.3,6.0,4.0,3.3,10.2,11.4,,0.2,0.2,0.4,.254,,1.1,3.3,4.4,0.1,2016
LaMarcus Aldridge,PF,30,SAS,10,337,25.0,.579,.012,.272,8.0,19.7,14.2,5.4,0.6,3.3,5.5,27.7,,1.0,0.5,1.6,.223,,3.5,0.2,3.6,0.5,2016
Lavoy Allen,PF,26,IND,6,51,7.1,.300,.000,.000,9.7,21.0,15.7,6.2,1.1,1.6,9.1,10.4,,0.0,0.1,0.0,.031,,-2.1,-0.4,-2.4,0.0,2016
Tony Allen,SG,34,MEM,4,94,6.7,.387,.212,.394,6.4,7.2,6.8,5.7,2.9,1.9,13.4,21.9,,-0.2,0.0,-0.2,-0.103,,-4.1,-0.7,-4.8,-0.1,2016
Al-Farouq Aminu,SF,25,POR,11,372,15.5,.572,.547,.227,6.2,20.4,13.1,8.7,1.1,2.1,13.0,18.6,,0.5,0.3,0.8,.100,,2.1,0.5,2.7,0.4,2016
Chris Andersen,C,37,MEM,4,79,14.7,.483,.000,.667,16.5,31.0,22.7,6.3,1.4,3.3,24.4,11.9,,0.0,0.0,0.0,.021,,-0.3,-1.0,-1.3,0.0,2016
Justin Anderson,SF,22,DAL,5,95,19.2,.544,.351,.378,10.6,14.1,12.3,13.2,2.2,2.8,10.4,23.5,,0.2,0.0,0.1,.058,,2.0,0.7,2.7,0.1,2016
Kyle Anderson,SF,22,SAS,10,129,7.7,.410,.120,.280,1.9,18.6,10.7,7.3,2.4,1.8,12.5,11.6,,-0.1,0.2,0.1,.055,,-4.5,2.0,-2.4,0.0,2016
Trevor Ariza,SF,30,HOU,5,181,1.8,.313,.549,.078,3.9,8.7,6.1,3.6,3.5,0.5,18.5,14.7,,-0.5,0.1,-0.4,-0.116,,-6.1,-0.5,-6.6,-0.2,2016
