Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Torrey Craig,SF,31,PHO,9,0,7.7,0.9,2.4,.364,0.3,1.1,.300,0.6,1.3,.417,.432,0.1,0.2,.500,0.6,1.1,1.7,0.6,0.4,0.2,0.4,0.7,2.2,2022
Jae Crowder,PF,31,PHO,13,13,29.5,3.2,8.1,.400,1.5,4.8,.302,1.8,3.2,.548,.490,1.5,2.0,.731,0.6,4.1,4.7,2.4,1.0,0.5,1.5,3.6,9.4,2022
Jarrett Culver,SG,22,MEM,3,0,7.3,1.0,3.3,.300,0.0,0.7,.000,1.0,2.7,.375,.300,0.3,0.7,.500,0.7,1.7,2.3,0.3,0.7,0.0,0.7,1.3,2.3,2022
Seth Curry,SG,31,BRK,4,4,33.0,5.5,9.8,.564,3.0,5.8,.522,2.5,4.0,.625,.718,0.5,0.8,.667,0.5,2.0,2.5,3.0,0.3,0.8,0.8,3.8,14.5,2022
Stephen Curry,PG,33,GSW,22,18,34.7,9.2,20.0,.459,4.1,10.4,.397,5.0,9.6,.526,.563,4.9,5.9,.829,0.5,4.7,5.2,5.9,1.3,0.4,2.6,2.7,27.4,2022
Dewayne Dedmon,C,32,MIA,14,0,9.9,1.5,3.2,.467,0.1,0.7,.100,1.4,2.5,.571,.478,0.7,0.9,.833,1.1,1.9,3.0,0.4,0.1,0.2,0.5,2.6,3.8,2022
DeMar DeRozan,PF,32,CHI,5,5,40.6,7.8,19.0,.411,0.0,1.8,.000,7.8,17.2,.453,.411,5.2,6.0,.867,0.2,5.2,5.4,4.8,1.8,0.4,2.2,2.4,20.8,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Gorgui Dieng,C,32,ATL,2,0,5.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.5,0.5,1.000,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,2022
Spencer Dinwiddie,PG,28,DAL,18,3,27.8,4.4,10.7,.417,2.2,5.3,.417,2.2,5.3,.417,.521,3.1,3.7,.821,0.4,2.0,2.4,3.6,0.8,0.3,1.6,2.3,14.2,2022
Luka Dončić,PG,22,DAL,15,15,36.8,10.7,23.5,.455,3.4,9.9,.345,7.3,13.6,.534,.527,6.9,9.0,.770,0.7,9.1,9.8,6.4,1.8,0.6,3.9,2.9,31.7,2022
Ayo Dosunmu,SG,22,CHI,5,1,17.2,1.6,5.2,.308,0.6,2.6,.231,1.0,2.6,.385,.365,0.2,0.2,1.000,0.8,1.8,2.6,2.2,0.2,0.0,0.6,1.0,4.0,2022
Goran Dragić,PG,35,BRK,4,0,19.8,4.5,8.0,.563,1.0,3.0,.333,3.5,5.0,.700,.625,0.5,0.5,1.000,1.5,3.0,4.5,1.5,0.8,0.0,1.3,2.8,10.5,2022
Andre Drummond,C,28,BRK,4,4,15.0,1.5,2.8,.545,0.0,0.0,,1.5,2.8,.545,.545,0.8,1.3,.600,0.8,2.3,3.0,0.8,1.3,0.8,1.5,3.0,3.8,2022
Kevin Durant,PF,33,BRK,4,4,44.0,8.0,20.8,.386,1.8,5.3,.333,6.3,15.5,.403,.428,8.5,9.5,.895,0.5,5.3,5.8,6.3,1.0,0.3,5.3,3.8,26.3,2022
Anthony Edwards,SG,20,MIN,6,6,37.8,8.3,18.3,.455,3.8,9.5,.404,4.5,8.8,.509,.559,4.7,5.7,.824,0.7,3.5,4.2,3.0,1.2,1.2,2.5,3.7,25.2,2022
Kessler Edwards,SF,21,BRK,2,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.5,0.0,2022
Joel Embiid,C,27,PHI,10,10,38.5,7.8,16.1,.484,0.7,3.3,.212,7.1,12.8,.555,.506,7.3,8.9,.820,2.1,8.6,10.7,2.1,0.4,0.8,3.2,3.4,23.6,2022
Dorian Finney-Smith,PF,28,DAL,18,18,38.2,4.1,8.7,.471,2.6,6.0,.426,1.6,2.7,.571,.618,0.9,1.3,.708,1.8,3.7,5.5,1.9,0.9,0.4,1.0,2.9,11.7,2022
Malik Fitts,PF,24,BOS,9,0,1.8,0.3,0.4,.750,0.2,0.2,1.000,0.1,0.2,.500,1.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.9,2022
Malachi Flynn,PG,23,TOR,6,0,6.0,0.0,1.2,.000,0.0,0.5,.000,0.0,0.7,.000,.000,0.0,0.0,,0.3,0.2,0.5,0.5,0.2,0.0,0.2,1.0,0.0,2022
Bryn Forbes,SG,28,DEN,5,0,15.2,1.2,3.0,.400,0.8,2.2,.364,0.4,0.8,.500,.533,0.8,1.0,.800,0.2,0.4,0.6,1.4,0.2,0.0,0.4,1.4,4.0,2022
Danilo Gallinari,PF,33,ATL,5,3,22.4,3.6,9.0,.400,0.8,3.0,.267,2.8,6.0,.467,.444,2.2,2.2,1.000,0.4,3.8,4.2,0.8,0.2,0.0,1.0,1.2,10.2,2022
Rudy Gobert,C,29,UTA,6,6,32.8,3.5,5.5,.636,0.0,0.0,,3.5,5.5,.636,.636,5.0,7.3,.682,3.5,9.7,13.2,0.5,0.2,1.0,1.3,3.2,12.0,2022
Aaron Gordon,PF,26,DEN,5,5,32.0,4.6,10.8,.426,0.6,3.0,.200,4.0,7.8,.513,.454,4.0,5.6,.714,3.6,3.6,7.2,2.6,0.4,1.2,1.6,2.8,13.8,2022
Devonte' Graham,PG,26,NOP,6,0,10.0,1.0,3.0,.333,0.8,2.3,.357,0.2,0.7,.250,.472,1.2,1.3,.875,0.3,1.2,1.5,0.7,0.2,0.2,0.7,0.5,4.0,2022
Danny Green,SF,34,PHI,12,12,26.6,3.0,7.4,.404,2.6,6.3,.408,0.4,1.1,.385,.579,0.0,0.1,.000,0.8,2.3,3.1,0.8,1.0,0.3,1.1,1.9,8.6,2022
Draymond Green,PF,31,GSW,22,22,32.0,3.1,6.5,.479,0.4,1.8,.205,2.8,4.8,.581,.507,1.4,2.1,.638,1.2,6.0,7.2,6.3,1.1,1.0,2.7,4.0,8.0,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
JaMychal Green,PF,31,DEN,5,0,13.8,1.2,3.2,.375,0.2,1.0,.200,1.0,2.2,.455,.406,1.4,1.4,1.000,0.6,1.8,2.4,0.4,0.0,0.2,0.4,2.4,4.0,2022
Javonte Green,SF,28,CHI,5,1,14.4,0.6,3.4,.176,0.0,1.2,.000,0.6,2.2,.273,.176,0.2,0.4,.500,1.6,1.4,3.0,0.4,1.8,0.0,0.8,1.6,1.4,2022
Jeff Green,PF,35,DEN,5,5,22.6,1.2,3.4,.353,0.6,1.6,.375,0.6,1.8,.333,.441,0.8,1.0,.800,1.4,2.2,3.6,0.4,0.6,0.4,0.4,1.2,3.8,2022
Josh Green,SG,21,DAL,16,0,7.6,0.5,1.8,.286,0.3,1.4,.227,0.2,0.4,.500,.375,0.1,0.5,.250,0.1,0.7,0.8,0.4,0.3,0.0,0.0,1.0,1.4,2022
Blake Griffin,C,32,BRK,2,0,12.5,1.0,3.5,.286,1.0,2.5,.400,0.0,1.0,.000,.429,1.0,1.0,1.000,1.0,1.0,2.0,2.0,0.5,0.5,0.5,1.5,4.0,2022
James Harden,PG,32,PHI,12,12,39.9,5.3,13.2,.405,2.3,6.3,.368,3.0,6.8,.439,.494,5.6,6.3,.893,0.9,4.8,5.7,8.6,0.8,0.7,4.2,2.4,18.6,2022
Tobias Harris,PF,29,PHI,12,12,38.8,6.8,13.5,.500,1.8,4.8,.386,4.9,8.8,.562,.568,1.6,1.8,.864,0.8,6.8,7.6,2.9,1.1,0.8,1.5,2.9,16.9,2022
Sam Hauser,SF,24,BOS,7,0,2.1,0.1,0.6,.250,0.1,0.4,.333,0.0,0.1,.000,.375,0.3,0.3,1.000,0.0,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.7,2022
Jaxson Hayes,C,21,NOP,6,6,13.8,2.3,4.2,.560,0.0,0.5,.000,2.3,3.7,.636,.560,1.2,1.8,.636,0.7,1.8,2.5,0.2,0.0,0.3,0.7,1.8,5.8,2022
Juancho Hernangómez,PF,26,UTA,6,0,9.3,0.8,3.0,.278,0.7,2.0,.333,0.2,1.0,.167,.389,0.0,0.0,,0.3,1.7,2.0,0.8,0.3,0.0,0.3,0.7,2.3,2022
Willy Hernangómez,C,27,NOP,1,0,2.0,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2022
Tyler Herro,SG,22,MIA,15,0,25.4,4.9,12.1,.409,1.1,4.7,.229,3.9,7.4,.523,.453,1.7,1.8,.926,0.5,3.4,3.9,2.8,0.6,0.4,1.8,1.4,12.6,2022
Haywood Highsmith,SF,25,MIA,8,0,3.9,0.4,0.9,.429,0.4,0.6,.600,0.0,0.3,.000,.643,0.0,0.0,,0.3,0.4,0.6,0.4,0.0,0.0,0.4,0.3,1.1,2022
George Hill,PG,35,MIL,5,0,15.2,0.2,1.0,.200,0.2,0.4,.500,0.0,0.6,.000,.300,0.4,0.4,1.000,0.2,1.0,1.2,0.6,0.0,0.0,0.2,2.0,1.0,2022
Aaron Holiday,PG,25,PHO,6,0,3.3,1.3,2.3,.571,0.8,1.2,.714,0.5,1.2,.429,.750,0.0,0.2,.000,0.5,0.0,0.5,1.5,0.5,0.2,0.0,0.2,3.5,2022
Jrue Holiday,PG,31,MIL,12,12,38.6,7.4,19.6,.379,2.1,6.6,.316,5.3,13.0,.410,.432,2.2,2.6,.839,1.0,4.6,5.6,6.5,1.8,0.6,2.8,2.3,19.1,2022
Al Horford,C,35,BOS,23,23,35.4,4.4,8.4,.523,2.0,4.3,.480,2.3,4.1,.568,.645,1.2,1.6,.778,1.5,7.8,9.3,3.3,0.8,1.3,1.3,2.8,12.0,2022
Danuel House Jr.,SF,28,UTA,6,0,18.7,1.5,3.7,.409,0.3,1.7,.200,1.2,2.0,.583,.455,1.0,1.3,.750,0.3,2.5,2.8,0.7,0.0,0.2,1.0,1.2,4.3,2022
Kevin Huerter,SF,23,ATL,5,5,30.8,3.4,9.4,.362,1.8,6.2,.290,1.6,3.2,.500,.457,0.6,0.8,.750,0.2,2.8,3.0,3.8,1.2,0.6,2.2,3.0,9.2,2022
De'Andre Hunter,SF,24,ATL,5,5,35.0,7.8,14.0,.557,2.4,5.2,.462,5.4,8.8,.614,.643,3.2,4.0,.800,0.4,3.4,3.8,0.6,0.8,0.2,2.2,4.0,21.2,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
