Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Jordan Adams,SG,20,MEM,4,0,2.5,0.5,0.8,.667,0.3,0.3,1.000,0.3,0.5,.500,.833,0.5,1.0,.500,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,1.8,2015
Arron Afflalo,SG,29,POR,3,3,20.0,0.7,4.0,.167,0.3,1.3,.250,0.3,2.7,.125,.208,0.0,0.3,.000,0.0,2.3,2.3,0.7,0.0,0.0,1.0,2.0,1.7,2015
Alexis Ajinça,C,26,NOP,3,0,3.3,1.3,1.3,1.000,0.0,0.0,,1.3,1.3,1.000,1.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.7,2.7,2015
LaMarcus Aldridge,PF,29,POR,5,5,41.6,7.4,22.4,.330,0.6,2.2,.273,6.8,20.2,.337,.344,6.4,7.2,.889,4.2,7.0,11.2,1.8,0.4,2.4,1.6,3.2,21.8,2015
Tony Allen,SG,33,MEM,10,9,27.9,2.8,5.7,.491,0.1,0.7,.143,2.7,5.0,.540,.500,0.9,1.2,.750,1.4,3.8,5.2,1.5,2.4,1.1,1.3,2.7,6.6,2015
Al-Farouq Aminu,SF,24,DAL,5,2,30.0,3.4,6.2,.548,1.4,2.2,.636,2.0,4.0,.500,.661,3.0,3.8,.789,2.8,4.4,7.2,1.2,2.0,1.6,1.2,3.0,11.2,2015
Alan Anderson,SG,32,BRK,6,0,23.7,4.2,6.8,.610,1.7,2.7,.625,2.5,4.2,.600,.732,1.0,1.5,.667,0.3,3.2,3.5,1.2,0.7,0.2,1.3,1.5,11.0,2015
Ryan Anderson,PF,26,NOP,4,0,23.8,4.0,9.0,.444,1.3,3.0,.417,2.8,6.0,.458,.514,1.5,1.5,1.000,1.8,2.5,4.3,2.3,0.0,0.5,1.0,3.0,10.8,2015
Giannis Antetokounmpo,SG,20,MIL,6,6,33.5,4.3,11.8,.366,0.0,0.2,.000,4.3,11.7,.371,.366,2.8,3.8,.739,2.0,5.0,7.0,2.7,0.5,1.5,1.8,3.0,11.5,2015
Pero Antić,C,32,ATL,15,1,13.3,1.1,3.3,.320,0.7,2.1,.344,0.3,1.2,.278,.430,1.3,1.7,.800,0.6,2.3,2.9,0.3,0.1,0.2,0.3,2.5,4.2,2015
Trevor Ariza,SF,29,HOU,17,17,38.5,4.4,10.4,.426,2.1,5.6,.375,2.3,4.7,.488,.528,2.2,2.5,.905,1.1,5.4,6.4,2.6,1.8,0.1,1.4,3.0,13.2,2015
Ömer Aşık,C,28,NOP,4,4,19.8,0.5,2.5,.200,0.0,0.0,,0.5,2.5,.200,.200,1.0,1.8,.571,3.0,4.3,7.3,1.5,1.3,0.0,1.3,2.5,2.0,2015
Jeff Ayres,PF,27,SAS,3,0,4.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,2015
Leandro Barbosa,SG,32,GSW,21,0,10.9,1.9,4.2,.443,0.4,1.1,.348,1.5,3.1,.477,.489,0.9,1.0,.818,0.4,0.9,1.3,0.9,0.3,0.0,0.6,1.1,5.0,2015
J.J. Barea,PG,30,DAL,5,2,30.8,5.0,11.4,.439,0.8,3.2,.250,4.2,8.2,.512,.474,1.0,1.2,.833,1.0,3.8,4.8,7.4,0.8,0.0,2.8,3.4,11.8,2015
Harrison Barnes,SF,22,GSW,21,21,32.4,4.2,9.5,.440,1.0,3.0,.355,3.1,6.6,.478,.495,1.2,1.6,.735,2.1,3.1,5.2,1.5,0.8,0.5,1.0,2.1,10.6,2015
Matt Barnes,SF,34,LAC,14,14,29.2,2.7,7.1,.380,1.1,4.3,.267,1.6,2.9,.550,.460,1.1,1.4,.750,1.1,3.9,5.1,1.6,1.4,0.7,1.1,3.9,7.6,2015
Brandon Bass,PF,29,BOS,4,4,21.5,1.8,5.0,.350,0.0,0.0,,1.8,5.0,.350,.350,1.5,2.5,.600,0.8,1.3,2.0,2.5,0.3,0.8,0.8,1.0,5.0,2015
Nicolas Batum,SF,26,POR,5,5,41.8,4.8,14.0,.343,2.6,7.8,.333,2.2,6.2,.355,.436,2.0,2.6,.769,1.2,7.4,8.6,5.2,0.2,0.2,2.4,2.2,14.2,2015
Jerryd Bayless,PG,26,MIL,6,0,20.0,2.0,5.8,.343,0.3,1.2,.286,1.7,4.7,.357,.371,2.2,2.8,.765,0.7,1.8,2.5,3.0,0.3,0.3,0.7,2.0,6.5,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
Aron Baynes,C,28,SAS,4,0,10.0,0.8,2.5,.300,0.0,0.0,,0.8,2.5,.300,.300,0.8,0.8,1.000,0.8,1.8,2.5,0.3,0.0,0.0,0.8,2.3,2.3,2015
Kent Bazemore,SG,25,ATL,16,2,18.9,1.9,4.4,.423,0.4,1.8,.214,1.5,2.7,.558,.465,1.3,1.9,.677,0.2,3.1,3.3,0.8,0.7,0.6,0.7,1.6,5.4,2015
Bradley Beal,SG,21,WAS,10,10,41.8,8.1,20.0,.405,2.3,6.3,.365,5.8,13.7,.423,.463,4.9,5.9,.831,1.4,4.1,5.5,4.6,1.6,0.7,2.6,1.9,23.4,2015
Marco Belinelli,SG,28,SAS,7,0,16.6,2.9,5.6,.513,2.0,4.3,.467,0.9,1.3,.667,.692,1.6,1.9,.846,0.3,1.6,1.9,1.4,0.3,0.0,0.7,1.4,9.3,2015
Steve Blake,PG,34,POR,5,0,8.6,0.4,2.2,.182,0.2,1.6,.125,0.2,0.6,.333,.227,0.4,0.4,1.000,0.0,0.2,0.2,1.6,0.0,0.2,0.4,0.8,1.4,2015
Bojan Bogdanović,SF,25,BRK,6,5,34.3,3.8,9.8,.390,1.8,5.5,.333,2.0,4.3,.462,.483,0.8,1.2,.714,0.5,3.3,3.8,1.7,0.7,0.3,1.3,2.0,10.3,2015
Andrew Bogut,C,30,GSW,19,18,23.2,2.2,3.9,.560,0.0,0.1,.000,2.2,3.9,.568,.560,0.3,0.7,.385,2.2,5.9,8.1,1.9,0.6,1.8,1.4,3.6,4.7,2015
Matt Bonner,PF,34,SAS,7,0,5.1,0.3,1.4,.200,0.3,1.3,.222,0.0,0.1,.000,.300,0.0,0.0,,0.0,0.9,0.9,0.1,0.0,0.1,0.1,1.1,0.9,2015
Avery Bradley,SG,24,BOS,4,4,33.3,4.8,12.5,.380,1.3,4.8,.263,3.5,7.8,.452,.430,1.5,1.8,.857,0.8,3.0,3.8,0.8,0.8,0.0,0.8,3.3,12.3,2015
