Player,Tm,season,Ave +/-
Andre Drummond,DET,2016,1.5901639344262295
Jared Dudley,WAS,2016,1.064516129032258
Duje Dukan,SAC,2016,-8.0
Tim Duncan,SAS,2016,7.956521739130435
Mike Dunleavy,CHI,2016,1.1428571428571428
Kevin Durant,OKC,2016,9.415094339622641
Cleanthony Early,NYK,2016,1.0
Jarell Eddie,WAS,2016,-1.0526315789473684
Wayne Ellington,BRK,2016,-4.11864406779661
Monta Ellis,IND,2016,2.2295081967213113
James Ennis III,TOT,2016,-3.625
James Ennis III,MIA,2016,-3.625
James Ennis III,MEM,2016,-3.625
James Ennis III,NOP,2016,-3.625
Tyler Ennis,MIL,2016,-0.8648648648648649
Jeremy Evans,DAL,2016,-1.4545454545454546
Tyreke Evans,NOP,2016,1.1578947368421053
Festus Ezeli,GSW,2016,5.029411764705882
Kenneth Faried,DEN,2016,-2.3461538461538463
Jordan Farmar,MEM,2016,-5.333333333333333
Derrick Favors,UTA,2016,1.4565217391304348
Cristiano Felício,CHI,2016,0.36363636363636365
Raymond Felton,DAL,2016,-2.05
Evan Fournier,ORL,2016,-2.7868852459016393
Randy Foye,TOT,2016,0.6615384615384615
Randy Foye,DEN,2016,0.6615384615384615
Randy Foye,OKC,2016,0.6615384615384615
Tim Frazier,TOT,2016,-1.3513513513513513
Tim Frazier,POR,2016,-1.3513513513513513
Tim Frazier,NOP,2016,-1.3513513513513513
Jimmer Fredette,TOT,2016,-4.166666666666667
Jimmer Fredette,NOP,2016,-4.166666666666667
Jimmer Fredette,NYK,2016,-4.166666666666667
Enes Freedom,OKC,2016,1.0483870967741935
Channing Frye,TOT,2016,0.6363636363636364
Channing Frye,ORL,2016,0.6363636363636364
Channing Frye,CLE,2016,0.6363636363636364
Danilo Gallinari,DEN,2016,-2.4047619047619047
Langston Galloway,NYK,2016,-1.7903225806451613
Kevin Garnett,MIN,2016,1.4
Marc Gasol,MEM,2016,-0.10810810810810811
Pau Gasol,CHI,2016,1.9056603773584906
Rudy Gay,SAC,2016,-1.1346153846153846
Alonzo Gee,NOP,2016,-1.4545454545454546
Paul George,IND,2016,3.7049180327868854
Taj Gibson,CHI,2016,-1.7894736842105263
Manu Ginóbili,SAS,2016,5.957446808510638
Rudy Gobert,UTA,2016,4.531914893617022
Drew Gooden,WAS,2016,-2.4375
Archie Goodwin,PHO,2016,-3.5
Aaron Gordon,ORL,2016,-1.6
Eric Gordon,NOP,2016,0.23529411764705882
Marcin Gortat,WAS,2016,1.1228070175438596
Andrew Goudelock,HOU,2016,0.6666666666666666
Jerami Grant,PHI,2016,-7.220338983050848
Jerian Grant,NYK,2016,-2.0526315789473686
Danny Green,SAS,2016,6.557377049180328
Draymond Green,GSW,2016,13.306451612903226
Erick Green,TOT,2016,-0.5
Erick Green,DEN,2016,-0.5
Erick Green,UTA,2016,-0.5
Gerald Green,MIA,2016,0.9038461538461539
JaMychal Green,MEM,2016,-1.206896551724138
Jeff Green,TOT,2016,-1.1071428571428572
Jeff Green,MEM,2016,-1.1071428571428572
Jeff Green,LAC,2016,-1.1071428571428572
Blake Griffin,LAC,2016,5.5
Jorge Gutiérrez,CHO,2016,0.25
P.J. Hairston,TOT,2016,-3.0754716981132075
P.J. Hairston,CHO,2016,-3.0754716981132075
P.J. Hairston,MEM,2016,-3.0754716981132075
Jordan Hamilton,NOP,2016,-7.625
Tyler Hansbrough,CHO,2016,-0.9714285714285714
Tim Hardaway Jr.,ATL,2016,2.1707317073170733
James Harden,HOU,2016,1.6290322580645162
Maurice Harkless,POR,2016,-0.4827586206896552
Justin Harper,DET,2016,-6.25
Montrezl Harrell,HOU,2016,0.6129032258064516
Devin Harris,DAL,2016,-1.0204081632653061
Gary Harris,DEN,2016,-2.719298245614035
Joe Harris,CLE,2016,-1.0
Tobias Harris,TOT,2016,-0.016666666666666666
Tobias Harris,ORL,2016,-0.016666666666666666
Tobias Harris,DET,2016,-0.016666666666666666
Aaron Harrison,CHO,2016,0.1111111111111111
Udonis Haslem,MIA,2016,-0.7307692307692307
Spencer Hawes,CHO,2016,1.4772727272727273
Chuck Hayes,HOU,2016,-1.5
Gordon Hayward,UTA,2016,2.1333333333333333
Gerald Henderson,POR,2016,0.5535714285714286
John Henson,MIL,2016,-2.8043478260869565
Mario Hezonja,ORL,2016,-0.01694915254237288
Roy Hibbert,LAL,2016,-8.721311475409836
J.J. Hickson,TOT,2016,-0.37037037037037035
J.J. Hickson,DEN,2016,-0.37037037037037035
J.J. Hickson,WAS,2016,-0.37037037037037035
Nenê,WAS,2016,1.5
George Hill,IND,2016,2.5892857142857144
Jordan Hill,IND,2016,-0.16071428571428573
Solomon Hill,IND,2016,0.6511627906976745
Darrun Hilliard,DET,2016,0.06896551724137931
Kirk Hinrich,TOT,2016,0.0
Kirk Hinrich,CHI,2016,0.0
Kirk Hinrich,ATL,2016,0.0
Jrue Holiday,NOP,2016,0.4
Justin Holiday,TOT,2016,-2.6944444444444446
Justin Holiday,ATL,2016,-2.6944444444444446
Justin Holiday,CHI,2016,-2.6944444444444446
Ryan Hollins,TOT,2016,-3.5161290322580645
Ryan Hollins,WAS,2016,-3.5161290322580645
Ryan Hollins,MEM,2016,-3.5161290322580645
Rondae Hollis-Jefferson,BRK,2016,-1.6666666666666667
Richaun Holmes,PHI,2016,-1.4615384615384615
Rodney Hood,UTA,2016,2.152542372881356
Al Horford,ATL,2016,2.6451612903225805
Dwight Howard,HOU,2016,-0.1320754716981132
Marcelo Huertas,LAL,2016,-0.14634146341463414
Josh Huestis,OKC,2016,0.4
Kris Humphries,TOT,2016,-2.4318181818181817
Kris Humphries,WAS,2016,-2.4318181818181817
Kris Humphries,PHO,2016,-2.4318181818181817
Kris Humphries,ATL,2016,-2.4318181818181817
R.J. Hunter,BOS,2016,-0.7407407407407407
Serge Ibaka,OKC,2016,6.827586206896552
Andre Iguodala,GSW,2016,5.489795918367347
Ersan İlyasova,TOT,2016,-2.0925925925925926
Ersan İlyasova,DET,2016,-2.0925925925925926
Ersan İlyasova,ORL,2016,-2.0925925925925926
Joe Ingles,UTA,2016,0.16129032258064516
Damien Inglis,MIL,2016,-1.2
Kyrie Irving,CLE,2016,5.052631578947368
Jarrett Jack,BRK,2016,-2.3043478260869565
Reggie Jackson,DET,2016,1.5333333333333334
LeBron James,CLE,2016,8.310344827586206
Al Jefferson,CHO,2016,1.7647058823529411
Cory Jefferson,PHO,2016,0.3333333333333333
Richard Jefferson,CLE,2016,-1.5555555555555556
John Jenkins,TOT,2016,-1.6764705882352942
John Jenkins,DAL,2016,-1.6764705882352942
John Jenkins,PHO,2016,-1.6764705882352942
Brandon Jennings,TOT,2016,0.625
Brandon Jennings,DET,2016,0.625
Brandon Jennings,ORL,2016,0.625
Jonas Jerebko,BOS,2016,1.5689655172413792
Amir Johnson,BOS,2016,1.7049180327868851
