Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Álex Abrines,SG,23,OKC,5,0,16.0,1.6,4.6,.348,1.0,3.4,.294,0.6,1.2,.500,.457,0.6,0.8,.750,0.4,1.4,1.8,0.8,0.0,0.0,0.0,1.6,4.8,2017
Steven Adams,C,23,OKC,5,5,31.4,3.6,5.6,.643,0.0,0.0,,3.6,5.6,.643,.643,0.8,2.2,.364,3.4,3.4,6.8,1.4,1.2,1.8,0.8,2.8,8.0,2017
LaMarcus Aldridge,PF,31,SAS,16,16,33.6,6.9,15.0,.458,0.1,0.9,.143,6.8,14.1,.478,.463,2.6,3.4,.764,2.7,4.8,7.4,1.5,0.6,1.0,1.8,2.6,16.5,2017
Lavoy Allen,PF,27,IND,3,0,3.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.0,0.0,2017
Al-Farouq Aminu,PF,26,POR,4,0,28.3,4.3,9.3,.459,1.8,4.3,.412,2.5,5.0,.500,.554,1.8,2.8,.636,1.3,5.3,6.5,1.0,0.8,1.0,2.3,2.3,12.0,2017
Kyle Anderson,SF,23,SAS,15,1,13.0,2.4,4.3,.563,0.2,0.7,.300,2.2,3.6,.611,.586,0.5,0.7,.727,0.8,2.3,3.1,1.7,0.7,0.1,0.5,0.5,5.5,2017
Ryan Anderson,PF,28,HOU,11,9,30.5,3.3,8.4,.391,1.5,5.5,.283,1.7,2.9,.594,.484,1.3,1.5,.875,1.4,3.8,5.2,0.6,0.4,0.2,0.8,2.2,9.4,2017
Giannis Antetokounmpo,SF,22,MIL,6,6,40.5,10.0,18.7,.536,0.7,1.7,.400,9.3,17.0,.549,.554,4.2,7.7,.543,1.7,7.8,9.5,4.0,2.2,1.7,3.3,3.5,24.8,2017
Joel Anthony,C,34,SAS,3,0,5.0,1.0,1.3,.750,0.0,0.0,,1.0,1.3,.750,.750,0.0,0.3,.000,0.7,0.7,1.3,0.0,0.0,0.7,0.3,0.7,2.0,2017
Trevor Ariza,SF,31,HOU,11,11,37.5,3.7,8.8,.423,2.1,5.5,.377,1.6,3.3,.500,.541,1.2,1.3,.929,0.7,4.4,5.1,2.1,1.3,0.2,0.8,2.3,10.7,2017
Wade Baldwin,PG,20,MEM,3,0,4.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.7,0.7,1.000,0.3,1.0,1.3,0.7,0.0,0.0,0.0,1.0,0.7,2017
Matt Barnes,SF,36,GSW,12,0,5.1,0.3,1.3,.267,0.1,0.7,.125,0.3,0.6,.429,.300,0.0,0.0,,0.0,0.8,0.8,0.6,0.2,0.0,0.3,0.8,0.8,2017
Brandon Bass,PF,31,LAC,1,0,4.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2017
Kent Bazemore,SF,27,ATL,6,0,25.0,3.5,8.8,.396,1.2,4.0,.292,2.3,4.8,.483,.462,1.7,2.3,.714,0.7,3.2,3.8,3.3,0.7,0.8,2.7,2.5,9.8,2017
Bradley Beal,SG,23,WAS,13,13,38.8,9.4,19.9,.471,2.2,7.8,.287,7.2,12.2,.589,.527,3.8,4.7,.820,1.2,2.2,3.4,2.7,1.6,0.6,2.1,2.9,24.8,2017
Michael Beasley,PF,28,MIL,4,0,12.0,1.8,5.0,.350,0.8,1.3,.600,1.0,3.8,.267,.425,0.0,1.0,.000,0.5,1.8,2.3,0.3,0.3,0.3,0.5,2.0,4.3,2017
Dāvis Bertāns,PF,24,SAS,13,0,8.6,0.9,2.1,.444,0.6,1.5,.400,0.3,0.5,.571,.593,0.3,0.5,.667,0.4,1.2,1.5,0.2,0.2,0.3,0.5,0.5,2.8,2017
Patrick Beverley,SG,28,HOU,11,11,29.5,4.1,9.9,.413,1.9,4.7,.404,2.2,5.2,.421,.509,1.0,1.3,.786,1.9,3.6,5.5,3.0,1.5,0.2,1.6,3.5,11.1,2017
Bojan Bogdanović,SF,27,WAS,13,0,20.3,2.8,6.7,.414,1.2,3.5,.356,1.5,3.2,.476,.506,2.1,2.5,.844,0.8,3.5,4.3,0.7,0.5,0.1,0.6,1.3,8.8,2017
Joel Bolomboy,PF,23,UTA,2,0,4.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,2.0,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Avery Bradley,SG,26,BOS,18,18,35.8,6.7,15.1,.441,2.2,6.3,.351,4.4,8.8,.506,.515,1.2,1.5,.778,1.0,2.9,3.9,2.3,1.3,0.2,1.7,2.2,16.7,2017
Malcolm Brogdon,SG,24,MIL,6,6,30.5,3.7,9.2,.400,1.7,3.5,.476,2.0,5.7,.353,.491,0.0,0.0,,0.5,3.8,4.3,3.5,0.5,0.3,2.0,2.0,9.0,2017
Aaron Brooks,PG,32,IND,1,0,7.0,2.0,3.0,.667,1.0,2.0,.500,1.0,1.0,1.000,.833,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,2017
Bobby Brown,PG,32,HOU,5,0,4.4,2.0,4.0,.500,1.0,2.2,.455,1.0,1.8,.556,.625,0.0,0.0,,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.2,5.0,2017
Jaylen Brown,SF,20,BOS,17,0,12.6,2.0,4.2,.479,0.3,1.4,.217,1.7,2.8,.604,.514,0.7,1.1,.667,0.7,1.4,2.1,0.8,0.4,0.1,0.8,1.5,5.0,2017
Trey Burke,PG,24,WAS,3,0,6.7,0.0,1.3,.000,0.0,0.7,.000,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.7,0.0,2017
Jimmy Butler,SF,27,CHI,6,6,39.8,7.7,18.0,.426,1.0,3.8,.261,6.7,14.2,.471,.454,6.3,7.8,.809,1.5,5.8,7.3,4.3,1.7,0.8,2.5,1.7,22.7,2017
José Calderón,PG,35,ATL,6,0,12.5,1.8,3.8,.478,0.7,2.0,.333,1.2,1.8,.636,.565,0.0,0.0,,0.3,1.0,1.3,2.2,0.3,0.2,0.7,1.5,4.3,2017
Isaiah Canaan,SG,25,CHI,3,2,31.7,4.3,8.7,.500,1.7,4.7,.357,2.7,4.0,.667,.596,1.3,2.0,.667,0.0,1.3,1.3,1.3,1.0,0.0,1.7,2.0,11.7,2017
Clint Capela,C,22,HOU,11,11,26.0,4.2,7.5,.561,0.0,0.1,.000,4.2,7.4,.568,.561,2.2,3.5,.615,2.4,6.4,8.7,1.1,0.7,2.5,0.7,2.5,10.5,2017
DeMarre Carroll,SF,30,TOR,10,7,15.5,1.5,3.7,.405,0.7,2.2,.318,0.8,1.5,.533,.500,0.5,0.9,.556,0.4,2.3,2.7,0.5,0.8,0.5,0.5,1.3,4.2,2017
Vince Carter,SF,40,MEM,6,6,32.5,3.3,7.0,.476,1.3,3.3,.400,2.0,3.7,.545,.571,1.2,1.2,1.000,0.7,2.7,3.3,1.5,0.3,0.0,1.7,2.5,9.2,2017
Michael Carter-Williams,PG,25,CHI,5,0,10.6,1.2,3.0,.400,0.0,0.2,.000,1.2,2.8,.429,.400,0.4,0.8,.500,0.2,0.6,0.8,1.2,0.4,0.2,1.2,1.2,2.8,2017
Semaj Christon,PG,24,OKC,2,0,10.5,1.0,2.5,.400,0.5,1.5,.333,0.5,1.0,.500,.500,0.0,0.0,,0.0,1.5,1.5,2.5,0.5,0.0,0.0,0.5,2.5,2017
Ian Clark,SG,25,GSW,16,0,13.7,2.5,4.9,.506,0.8,2.3,.361,1.7,2.7,.628,.589,1.0,1.1,.941,0.3,1.4,1.6,0.7,0.4,0.0,0.7,1.1,6.8,2017
Norris Cole,PG,28,OKC,4,0,6.3,0.5,2.0,.250,0.3,1.0,.250,0.3,1.0,.250,.313,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.3,0.5,1.0,1.3,2017
Mike Conley,PG,29,MEM,6,6,37.3,8.3,17.2,.485,2.8,6.3,.447,5.5,10.8,.508,.568,5.2,6.2,.838,0.2,3.2,3.3,7.0,1.7,0.5,2.0,1.8,24.7,2017
Pat Connaughton,SG,24,POR,3,0,8.0,0.7,3.0,.222,0.0,2.0,.000,0.7,1.0,.667,.222,1.0,1.0,1.000,0.3,2.0,2.3,1.3,0.0,0.0,0.0,0.0,2.3,2017
Allen Crabbe,SG,24,POR,4,0,23.0,2.3,6.0,.375,0.8,3.3,.231,1.5,2.8,.545,.438,0.3,0.8,.333,0.0,3.0,3.0,0.5,0.3,0.0,0.3,2.3,5.5,2017
Jamal Crawford,SG,36,LAC,7,0,28.0,5.0,11.9,.422,0.9,3.6,.240,4.1,8.3,.500,.458,1.7,1.7,1.000,0.3,1.0,1.3,1.9,0.6,0.1,1.3,1.7,12.6,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Jae Crowder,SF,26,BOS,18,18,33.1,4.8,11.1,.435,1.7,4.9,.352,3.1,6.2,.500,.513,2.2,2.7,.833,1.1,5.3,6.4,2.7,1.1,0.3,0.7,2.9,13.6,2017
