Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Bismack Biyombo,C,31,MEM,10,9,25.5,3.0,5.1,.588,0.0,0.0,,3.0,5.1,.588,.588,1.2,2.0,.600,3.3,4.3,7.6,1.8,0.4,1.1,0.7,3.1,7.2,2024
Anthony Black,PG,20,ORL,14,10,18.5,1.8,3.9,.463,0.4,1.4,.250,1.4,2.4,.588,.509,0.9,1.3,.667,0.7,1.5,2.2,1.2,0.4,0.4,1.1,2.0,4.8,2024
Leaky Black,SF,24,CHO,3,0,4.0,0.7,1.7,.400,0.3,0.7,.500,0.3,1.0,.333,.500,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.7,0.0,0.3,1.7,2024
Bogdan Bogdanović,SG,31,ATL,15,1,25.7,5.6,12.3,.454,2.9,7.9,.364,2.7,4.5,.612,.570,1.3,1.4,.905,0.3,2.4,2.7,2.7,1.4,0.4,1.3,2.3,15.3,2024
Bol Bol,PF,24,PHO,3,0,2.3,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.7,0.0,0.7,2024
Marques Bolden,C,25,MIL,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2024
Devin Booker,SG,27,PHO,8,8,33.5,9.9,19.3,.513,2.4,5.3,.452,7.5,14.0,.536,.575,7.5,8.1,.923,1.0,4.5,5.5,8.6,0.9,0.4,3.3,3.0,29.6,2024
Chris Boucher,PF,31,TOR,14,0,16.0,2.1,4.8,.448,0.7,1.8,.400,1.4,3.0,.476,.522,1.9,2.2,.839,1.4,3.1,4.5,0.4,0.3,0.6,0.4,2.3,6.9,2024
Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,.238,0.0,1.3,.000,0.8,2.2,.385,.238,0.0,0.0,,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7,2024
Malaki Branham,SG,20,SAS,16,5,20.6,3.4,8.3,.409,0.8,3.3,.250,2.6,5.0,.513,.458,0.5,0.6,.889,0.2,1.0,1.2,2.2,0.4,0.1,1.0,1.3,8.1,2024
Christian Braun,SG,22,DEN,16,0,21.4,3.7,7.6,.484,0.8,1.8,.429,2.9,5.9,.500,.533,1.4,1.9,.710,0.9,3.6,4.5,1.8,0.4,0.3,0.7,1.6,9.5,2024
Mikal Bridges,SF,27,BRK,15,15,34.5,8.1,17.4,.467,2.0,6.1,.326,6.1,11.3,.544,.525,3.9,4.5,.868,1.3,4.8,6.1,3.7,1.2,0.4,2.4,1.8,22.2,2024
Miles Bridges,SF,25,CHO,4,2,36.8,7.0,14.0,.500,2.0,5.0,.400,5.0,9.0,.556,.571,4.8,5.5,.864,0.5,8.0,8.5,3.0,1.5,0.3,1.8,1.5,20.8,2024
Oshae Brissett,SF,25,BOS,8,0,11.3,0.4,2.1,.176,0.1,1.1,.111,0.3,1.0,.250,.206,0.9,1.5,.583,1.0,1.6,2.6,0.4,0.5,0.0,0.3,1.1,1.8,2024
Malcolm Brogdon,PG,31,POR,10,5,27.1,6.4,15.1,.424,2.1,5.7,.368,4.3,9.4,.457,.493,2.8,3.5,.800,1.0,3.3,4.3,5.7,0.7,0.0,1.5,1.3,17.7,2024
Armoni Brooks,PG,25,BRK,4,0,10.3,1.5,3.8,.400,1.3,2.8,.455,0.3,1.0,.250,.567,0.0,0.0,,0.5,1.8,2.3,0.0,0.0,0.0,0.3,0.0,4.3,2024
Dillon Brooks,SF,28,HOU,14,14,31.2,4.7,10.0,.471,1.9,4.0,.464,2.9,6.0,.476,.564,2.1,2.5,.857,0.7,3.1,3.8,1.9,1.1,0.1,1.7,3.9,13.4,2024
Bruce Brown,SG,27,IND,15,15,31.4,4.3,9.3,.460,1.3,3.7,.357,2.9,5.5,.530,.532,1.6,1.9,.857,0.5,3.7,4.2,2.8,1.2,0.3,1.1,2.4,11.5,2024
Jaylen Brown,SF,27,BOS,15,15,34.3,8.0,18.0,.444,2.5,7.1,.346,5.5,10.9,.509,.513,2.9,4.1,.721,0.4,4.3,4.7,3.5,1.1,0.5,2.4,2.8,21.4,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Kobe Brown,PF,24,LAC,7,0,8.1,1.0,2.3,.438,0.4,1.3,.333,0.6,1.0,.571,.531,0.0,0.0,,0.4,1.1,1.6,0.3,0.1,0.1,0.1,1.1,2.4,2024
Moses Brown,C,24,POR,3,0,4.7,1.0,1.7,.600,0.0,0.0,,1.0,1.7,.600,.600,0.0,0.7,.000,1.3,0.3,1.7,0.3,0.3,0.3,0.0,0.3,2.0,2024
Troy Brown Jr.,SF,24,MIN,11,0,9.7,0.7,2.5,.296,0.2,1.4,.133,0.5,1.1,.500,.333,1.2,1.3,.929,0.7,1.9,2.6,0.5,0.3,0.1,0.3,0.5,2.8,2024
Jalen Brunson,PG,27,NYK,15,15,35.1,8.5,18.9,.449,3.1,6.5,.469,5.4,12.3,.438,.530,4.2,4.9,.851,0.7,2.7,3.4,4.9,0.7,0.0,2.0,1.9,24.2,2024
Thomas Bryant,C,26,MIA,12,3,13.5,2.2,4.4,.491,0.0,0.3,.000,2.2,4.2,.520,.491,1.0,1.3,.800,1.0,2.8,3.8,0.6,0.5,0.3,1.0,1.3,5.3,2024
Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,2024
Reggie Bullock,SF,32,HOU,7,0,9.1,0.3,1.6,.182,0.3,1.4,.200,0.0,0.1,.000,.273,0.0,0.0,,0.1,1.6,1.7,0.4,0.1,0.1,0.3,0.6,0.9,2024
Alec Burks,SG,32,DET,10,0,22.3,3.4,9.2,.370,2.5,6.0,.417,0.9,3.2,.281,.505,3.2,3.8,.842,0.6,2.4,3.0,2.3,0.5,0.4,0.5,1.9,12.5,2024
Jared Butler,SG,23,WAS,5,0,5.8,1.2,2.4,.500,0.6,1.4,.429,0.6,1.0,.600,.625,0.2,0.2,1.000,0.0,0.4,0.4,1.2,0.4,0.2,0.6,0.8,3.2,2024
Jimmy Butler,PF,34,MIA,14,14,33.3,6.4,13.9,.462,1.2,2.9,.415,5.2,11.0,.474,.505,6.6,7.6,.877,1.9,3.1,5.0,4.0,1.4,0.6,1.7,0.8,20.7,2024
Jamal Cain,PF,24,MIA,4,0,14.8,1.8,3.8,.467,0.3,1.8,.143,1.5,2.0,.750,.500,0.0,0.3,.000,0.8,1.5,2.3,0.0,1.0,0.0,0.5,0.8,3.8,2024
Kentavious Caldwell-Pope,SG,30,DEN,16,16,34.2,3.8,8.3,.451,1.6,4.0,.406,2.1,4.3,.493,.549,1.7,1.8,.931,0.5,1.5,2.0,2.4,1.6,0.6,1.3,2.3,10.8,2024
Toumani Camara,PF,23,POR,15,6,25.7,2.1,5.7,.376,0.7,2.7,.250,1.5,3.0,.489,.435,1.2,1.7,.720,1.7,2.7,4.5,1.3,0.8,0.7,1.1,2.5,6.1,2024
Clint Capela,C,29,ATL,15,15,24.6,4.7,7.7,.603,0.0,0.0,,4.7,7.7,.603,.603,1.5,2.4,.611,4.3,5.6,9.9,0.9,0.7,1.6,0.6,2.3,10.8,2024
Jevon Carter,PG,28,CHI,17,0,14.5,2.1,5.5,.376,1.4,3.7,.381,0.6,1.8,.367,.505,0.0,0.1,.000,0.1,0.5,0.5,1.2,0.5,0.3,0.6,1.2,5.5,2024
Wendell Carter Jr.,C,24,ORL,5,5,29.4,3.4,9.0,.378,1.0,3.2,.313,2.4,5.8,.414,.433,1.6,2.8,.571,2.2,6.4,8.6,1.6,0.6,0.4,1.6,2.8,9.4,2024
Alex Caruso,SG,29,CHI,15,5,24.0,3.4,6.0,.567,1.6,3.3,.480,1.8,2.7,.675,.700,1.4,1.8,.778,1.3,2.3,3.6,2.2,1.3,0.8,1.0,2.4,9.8,2024
Colin Castleton,C,23,LAL,2,0,9.5,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,0.5,1.5,1.0,0.0,0.0,0.0,2.5,2.0,2024
Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
