Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Bam Adebayo,C,25,MIA,23,23,37.0,7.3,15.1,.481,0.0,0.1,.000,7.3,15.0,.485,.481,3.4,4.1,.821,2.7,7.1,9.9,3.7,0.9,0.7,2.7,3.1,17.9,2023
Santi Aldama,PF,22,MEM,6,0,16.8,2.5,5.5,.455,1.2,2.5,.467,1.3,3.0,.444,.561,0.3,0.3,1.000,1.2,3.2,4.3,1.2,0.5,0.0,0.3,0.8,6.5,2023
Nickeil Alexander-Walker,SG,24,MIN,5,4,29.6,3.0,7.0,.429,2.0,5.0,.400,1.0,2.0,.500,.571,0.4,0.6,.667,0.2,1.8,2.0,1.4,0.6,0.2,0.8,1.8,8.4,2023
Grayson Allen,SG,27,MIL,5,5,29.8,3.8,8.2,.463,2.8,5.8,.483,1.0,2.4,.417,.634,1.2,1.4,.857,0.2,2.2,2.4,1.8,0.4,0.0,0.8,1.4,11.6,2023
Jarrett Allen,C,24,CLE,5,5,38.2,4.4,7.2,.611,0.0,0.0,,4.4,7.2,.611,.611,0.6,1.2,.500,3.0,4.4,7.4,2.4,0.8,1.0,0.6,2.0,9.4,2023
Kyle Anderson,PF,29,MIN,4,0,26.0,3.8,7.5,.500,0.5,1.5,.333,3.3,6.0,.542,.533,0.5,0.5,1.000,0.8,3.3,4.0,4.5,1.8,0.5,1.5,3.3,8.5,2023
Giannis Antetokounmpo,PF,28,MIL,3,3,30.3,9.3,17.7,.528,0.0,1.0,.000,9.3,16.7,.560,.528,4.7,10.3,.452,2.7,8.3,11.0,5.3,0.3,0.7,4.7,3.0,23.3,2023
Thanasis Antetokounmpo,PF,30,MIL,2,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Deandre Ayton,C,24,PHO,10,10,31.9,6.1,11.1,.550,0.0,0.0,,6.1,11.1,.550,.550,1.2,2.3,.522,2.9,6.8,9.7,1.0,0.6,0.7,1.7,3.5,13.4,2023
Patrick Baldwin Jr.,SF,20,GSW,3,0,3.7,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,2023
Mo Bamba,C,24,LAL,3,0,3.3,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.3,0.0,0.0,0.0,2023
Desmond Bane,SG,24,MEM,6,6,38.5,8.2,19.3,.422,2.7,8.3,.320,5.5,11.0,.500,.491,4.5,4.8,.931,1.2,4.8,6.0,3.2,0.5,0.0,2.8,3.2,23.5,2023
Harrison Barnes,PF,30,SAC,7,7,28.0,3.6,8.6,.417,0.9,3.6,.240,2.7,5.0,.543,.467,2.7,3.7,.731,1.4,2.0,3.4,0.7,1.1,0.3,0.4,0.7,10.7,2023
RJ Barrett,SG,22,NYK,11,11,34.3,6.5,14.9,.433,1.8,5.5,.328,4.6,9.4,.495,.494,4.5,5.9,.769,0.5,4.0,4.5,2.8,0.8,0.2,2.3,2.3,19.3,2023
Nicolas Batum,PF,34,LAC,5,3,18.4,1.6,3.8,.421,1.2,3.4,.353,0.4,0.4,1.000,.579,0.0,0.0,,0.2,2.0,2.2,1.2,0.4,0.4,0.4,2.0,4.4,2023
Malik Beasley,SG,26,LAL,11,0,8.3,0.9,3.1,.294,0.6,2.4,.269,0.3,0.7,.375,.397,0.5,0.5,1.000,0.3,0.5,0.7,0.2,0.1,0.0,0.2,0.5,3.0,2023
MarJon Beauchamp,SF,22,MIL,2,0,2.5,1.0,1.5,.667,0.5,0.5,1.000,0.5,1.0,.500,.833,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.5,2023
Saddiq Bey,SF,23,ATL,6,0,22.2,2.5,6.7,.375,1.2,3.0,.389,1.3,3.7,.364,.463,1.3,1.5,.889,1.2,2.8,4.0,1.0,0.5,0.0,0.3,0.5,7.5,2023
Bismack Biyombo,C,30,PHO,8,0,9.8,1.1,2.0,.563,0.0,0.0,,1.1,2.0,.563,.563,1.1,2.3,.500,1.3,2.1,3.4,0.8,0.0,1.3,0.8,2.3,3.4,2023
Bogdan Bogdanović,SG,30,ATL,6,1,26.2,5.0,9.0,.556,2.5,5.5,.455,2.5,3.5,.714,.694,0.8,1.2,.714,0.3,2.7,3.0,2.5,1.0,0.8,0.5,2.7,13.3,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Devin Booker,SG,26,PHO,11,11,41.7,12.8,21.9,.585,2.8,5.5,.508,10.0,16.4,.611,.649,5.3,6.1,.866,1.1,3.7,4.8,7.2,1.7,0.8,2.9,3.4,33.7,2023
Brandon Boston Jr.,SF,21,LAC,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023
Christian Braun,SG,21,DEN,19,0,13.0,1.3,2.4,.533,0.1,0.5,.200,1.2,1.8,.629,.556,0.6,1.0,.579,0.6,1.4,2.1,0.6,0.6,0.2,0.5,1.5,3.2,2023
Mikal Bridges,SG,26,BRK,4,4,39.3,8.3,19.3,.429,2.5,6.3,.400,5.8,13.0,.442,.494,4.5,5.8,.783,0.5,4.8,5.3,4.0,0.5,0.5,2.0,1.3,23.5,2023
Malcolm Brogdon,PG,30,BOS,19,0,24.9,4.3,10.3,.418,1.7,4.6,.379,2.6,5.7,.450,.503,1.5,1.8,.829,0.7,2.8,3.5,2.9,0.2,0.3,1.0,1.5,11.9,2023
Dillon Brooks,SF,27,MEM,6,6,27.8,4.0,12.8,.312,1.7,7.0,.238,2.3,5.8,.400,.377,0.8,1.2,.714,0.5,2.5,3.0,1.8,0.2,0.0,1.2,3.3,10.5,2023
Bruce Brown,SF,26,DEN,20,0,26.5,4.5,8.8,.511,0.9,2.9,.316,3.6,6.0,.605,.563,2.1,2.5,.857,0.8,3.3,4.0,1.9,1.1,0.5,1.2,2.5,12.0,2023
Jaylen Brown,SF,26,BOS,20,20,37.6,9.1,18.3,.496,2.0,5.7,.354,7.1,12.6,.560,.551,2.6,3.7,.689,1.3,4.4,5.6,3.4,1.1,0.4,3.3,3.1,22.7,2023
Troy Brown Jr.,SF,23,LAL,12,0,10.3,0.8,2.3,.357,0.2,1.3,.133,0.7,1.1,.615,.393,0.0,0.0,,0.3,1.7,2.0,0.9,0.2,0.1,0.0,0.3,1.8,2023
Jalen Brunson,PG,26,NYK,11,11,40.3,9.9,20.9,.474,2.4,7.3,.325,7.5,13.6,.553,.530,5.6,6.2,.912,0.8,4.1,4.9,5.6,1.5,0.1,2.1,2.4,27.8,2023
Thomas Bryant,C,25,DEN,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Jimmy Butler,PF,33,MIA,22,22,39.7,9.4,20.1,.468,1.3,3.5,.359,8.1,16.5,.492,.500,6.8,8.5,.806,2.1,4.3,6.5,5.9,1.8,0.6,1.9,1.7,26.9,2023
Kentavious Caldwell-Pope,SG,29,DEN,20,20,33.6,3.7,8.1,.457,1.8,4.6,.380,2.0,3.5,.557,.565,1.5,1.8,.829,0.7,2.6,3.3,1.6,1.3,0.7,0.8,2.4,10.6,2023
Vlatko Čančar,PF,25,DEN,5,0,2.0,0.0,1.0,.000,0.0,0.8,.000,0.0,0.2,.000,.000,0.0,0.0,,0.0,0.6,0.6,0.2,0.0,0.0,0.0,0.0,0.0,2023
Clint Capela,C,28,ATL,6,6,25.2,3.8,6.3,.605,0.0,0.0,,3.8,6.3,.605,.605,0.7,1.0,.667,2.5,5.8,8.3,0.5,1.0,0.5,0.7,0.8,8.3,2023
Jevon Carter,PG,27,MIL,4,0,12.3,0.5,2.3,.222,0.3,1.8,.143,0.3,0.5,.500,.278,0.0,0.0,,0.0,1.0,1.0,1.0,0.3,0.0,0.0,0.3,1.3,2023
