Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
Steven Adams,C,25,OKC,5,159,15.7,.648,.024,.190,8.1,16.6,12.3,7.2,1.5,2.6,16.5,14.6,,0.2,0.1,0.3,.103,,-0.1,1.9,1.8,0.2,2019
LaMarcus Aldridge,C,33,SAS,7,244,21.8,.517,.091,.273,8.4,21.1,14.8,13.1,1.1,2.3,4.9,27.0,,0.5,0.2,0.7,.130,,2.5,-0.2,2.3,0.3,2019
Grayson Allen,SG,23,UTA,2,14,10.5,.446,.429,1.000,0.0,7.8,3.8,0.0,0.0,0.0,0.0,30.6,,0.0,0.0,0.0,.003,,-1.6,-3.5,-5.1,0.0,2019
Jarrett Allen,C,20,BRK,5,110,22.5,.674,.000,.625,13.0,19.3,15.9,15.9,1.3,2.0,16.4,18.0,,0.4,0.0,0.4,.182,,2.0,1.4,3.4,0.2,2019
Al-Farouq Aminu,PF,28,POR,16,399,11.0,.473,.468,.330,7.7,18.9,13.3,7.5,1.1,2.1,11.4,15.3,,0.1,0.3,0.4,.052,,-0.8,-0.1,-0.9,0.1,2019
Giannis Antetokounmpo,PF,24,MIL,15,514,26.5,.570,.210,.641,7.5,27.7,17.9,25.1,1.6,5.3,13.0,32.2,,1.1,1.3,2.3,.219,,5.0,3.3,8.4,1.4,2019
D.J. Augustin,PG,31,ORL,5,141,16.7,.666,.512,.390,0.7,5.8,3.1,25.5,0.7,0.7,12.7,17.3,,0.4,0.0,0.4,.138,,3.2,0.4,3.5,0.2,2019
Will Barton,SF,28,DEN,14,328,10.4,.434,.407,.193,4.7,16.9,10.7,11.0,0.6,2.2,8.2,21.6,,-0.2,0.2,0.0,-0.002,,-1.9,-1.2,-3.1,-0.1,2019
Aron Baynes,C,32,BOS,9,115,6.7,.638,.429,.143,5.6,16.1,11.1,3.9,1.3,2.4,25.2,7.6,,0.0,0.2,0.2,.100,,-4.4,2.1,-2.3,0.0,2019
Malik Beasley,SG,22,DEN,14,281,12.1,.530,.505,.333,4.0,14.1,9.0,7.3,0.6,0.3,6.2,18.0,,0.3,0.1,0.4,.075,,-0.8,-1.1,-1.9,0.0,2019
Marco Belinelli,SG,32,SAS,7,131,8.8,.504,.553,.158,0.0,10.6,5.3,8.5,0.0,1.2,4.7,15.1,,0.1,0.0,0.1,.026,,-1.4,-1.4,-2.8,0.0,2019
Jordan Bell,C,24,GSW,15,106,18.7,.579,.000,.323,7.8,12.7,10.3,15.1,1.8,6.4,5.3,15.3,,0.3,0.1,0.4,.175,,0.4,3.0,3.4,0.1,2019
Dāvis Bertāns,PF,26,SAS,5,79,4.5,.465,.733,.333,0.0,10.8,5.5,8.3,0.0,1.0,5.5,10.7,,0.0,0.0,0.0,.007,,-3.8,-1.0,-4.8,-0.1,2019
Patrick Beverley,PG,30,LAC,6,195,13.7,.584,.638,.170,4.3,24.3,13.7,19.7,1.4,2.6,16.5,12.7,,0.2,0.0,0.2,.058,,0.9,1.4,2.3,0.2,2019
Khem Birch,C,26,ORL,5,92,14.7,.617,.000,.389,9.9,28.1,18.4,7.7,0.5,5.0,22.2,13.0,,0.1,0.1,0.2,.092,,-1.1,1.5,0.4,0.1,2019
Eric Bledsoe,PG,29,MIL,15,423,14.2,.494,.389,.276,4.9,8.2,6.6,23.7,1.8,1.3,13.7,24.4,,0.0,0.7,0.7,.080,,-0.2,0.0,-0.2,0.2,2019
Bojan Bogdanović,SF,29,IND,4,148,15.2,.511,.349,.270,2.0,16.3,8.5,14.1,2.7,0.0,7.8,23.7,,0.0,0.3,0.3,.085,,0.4,1.4,1.9,0.1,2019
Andrew Bogut,C,34,GSW,19,179,17.3,.663,.000,.135,15.2,31.9,23.8,16.4,1.4,3.3,20.3,11.9,,0.5,0.2,0.7,.186,,-1.0,2.8,1.8,0.2,2019
Jonah Bolden,PF,23,PHI,10,79,-1.0,.385,.842,.211,5.8,13.0,9.6,5.0,1.2,1.1,30.2,15.9,,-0.3,0.1,-0.2,-0.102,,-7.7,-1.4,-9.0,-0.1,2019
Chris Boucher,PF,26,TOR,2,4,31.6,.460,.600,.200,0.0,27.6,13.8,0.0,0.0,24.5,0.0,61.5,,0.0,0.0,0.0,-0.095,,7.6,-0.6,7.0,0.0,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Malcolm Brogdon,SG,26,MIL,7,198,14.3,.549,.474,.141,3.2,13.7,8.6,18.9,1.2,0.5,10.8,20.1,,0.2,0.3,0.5,.121,,1.4,0.9,2.4,0.2,2019
Bruce Brown,SG,22,DET,4,57,4.6,.437,.357,.143,1.6,14.3,7.1,5.1,1.7,1.6,11.8,12.4,,-0.1,0.0,-0.1,-0.063,,-6.2,-0.3,-6.4,-0.1,2019
Jaylen Brown,SG,22,BOS,9,274,13.1,.624,.460,.345,2.3,16.4,9.7,6.3,1.1,0.7,13.0,18.4,,0.3,0.4,0.7,.122,,-0.5,1.2,0.7,0.2,2019
Sterling Brown,SG,23,MIL,11,162,10.6,.525,.553,.289,2.6,15.5,9.3,16.2,1.8,1.7,15.7,13.4,,0.1,0.3,0.4,.113,,-2.3,2.5,0.2,0.1,2019
Deonte Burton,SG,25,OKC,3,4,-7.2,.200,.400,.000,26.7,27.5,27.1,0.0,0.0,0.0,0.0,53.4,,-0.1,0.0,0.0,-0.591,,-9.5,-10.4,-19.9,0.0,2019
Jimmy Butler,SF,29,PHI,12,421,21.1,.564,.257,.411,6.0,12.5,9.4,23.2,2.0,1.5,9.6,22.9,,1.2,0.6,1.7,.195,,4.4,1.8,6.2,0.9,2019
José Calderón,PG,37,DET,3,10,21.4,,,,0.0,0.0,0.0,64.0,4.7,0.0,,0.0,,0.0,0.0,0.0,.183,,5.0,5.8,10.8,0.0,2019
Clint Capela,C,24,HOU,11,331,15.7,.549,.000,.427,14.4,23.8,19.2,7.7,0.4,3.4,14.1,15.0,,0.5,0.4,0.9,.129,,0.3,-1.0,-0.6,0.1,2019
DeMarre Carroll,PF,32,BRK,5,119,5.4,.397,.632,.211,4.8,13.1,8.6,2.3,1.5,0.0,6.7,15.2,,-0.1,0.0,-0.1,-0.047,,-3.4,-2.0,-5.4,-0.1,2019
Michael Carter-Williams,PG,27,ORL,5,92,9.2,.478,.258,.258,2.2,23.0,11.9,24.1,1.6,0.0,18.8,20.5,,-0.1,0.1,0.0,-0.019,,-3.9,1.8,-2.1,0.0,2019
Wilson Chandler,SF,31,LAC,4,52,2.6,.422,.625,.250,0.0,13.7,6.4,5.2,1.8,0.0,14.5,16.4,,-0.1,0.0,-0.1,-0.116,,-7.0,-1.4,-8.4,-0.1,2019
Gary Clark,PF,24,HOU,2,4,3.0,,,,0.0,27.3,14.1,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.048,,-1.6,1.0,-0.6,0.0,2019
Zach Collins,C,21,POR,16,275,14.4,.592,.259,.309,6.2,15.8,11.0,7.9,1.3,6.7,17.9,17.7,,0.2,0.3,0.5,.091,,-2.0,2.7,0.7,0.2,2019
Darren Collison,PG,31,IND,4,117,9.9,.504,.244,.133,3.4,8.3,5.6,25.5,0.9,0.0,17.3,22.6,,-0.1,0.1,0.0,.009,,-2.6,-1.5,-4.1,-0.1,2019
Pat Connaughton,SG,26,MIL,15,324,13.7,.577,.545,.104,3.2,24.8,14.4,9.2,0.9,3.6,9.0,11.7,,0.3,0.7,1.0,.148,,0.3,2.7,3.0,0.4,2019
Quinn Cook,PG,25,GSW,17,193,8.0,.495,.486,.057,1.2,9.3,5.4,8.8,0.8,0.5,7.7,17.5,,0.0,0.0,0.0,.006,,-2.7,-2.3,-5.0,-0.1,2019
DeMarcus Cousins,C,28,GSW,8,133,11.0,.477,.226,.472,8.0,25.2,16.9,20.7,1.8,4.4,22.9,27.1,,-0.2,0.2,-0.1,-0.023,,-4.9,1.4,-3.5,-0.1,2019
Torrey Craig,SF,28,DEN,14,330,12.2,.605,.522,.232,6.6,16.5,11.5,5.1,1.1,1.2,7.3,11.1,,0.6,0.2,0.8,.114,,-0.9,0.9,0.0,0.2,2019
Jae Crowder,SF,28,UTA,5,130,14.0,.524,.652,.413,3.1,21.0,11.7,5.2,1.9,0.0,1.8,18.1,,0.2,0.1,0.3,.112,,1.1,2.0,3.1,0.2,2019
Dante Cunningham,PF,31,SAS,5,13,29.5,1.000,.667,.000,16.7,32.9,24.9,0.0,0.0,0.0,0.0,10.7,,0.1,0.0,0.1,.315,,12.1,0.0,12.1,0.0,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Seth Curry,SG,28,POR,16,326,8.3,.518,.634,.134,1.6,6.5,4.1,5.7,1.8,1.0,7.5,12.5,,0.2,0.1,0.3,.044,,-1.6,0.2,-1.4,0.1,2019
Stephen Curry,PG,30,GSW,22,846,22.6,.620,.566,.364,2.4,15.2,9.0,23.9,1.4,0.5,11.7,29.0,,2.8,0.4,3.3,.185,,5.6,-0.5,5.2,1.5,2019
Ed Davis,C,29,BRK,3,41,19.6,.735,.000,.200,9.3,40.8,23.8,7.8,0.0,1.8,0.0,10.8,,0.2,0.0,0.2,.230,,1.7,2.1,3.8,0.1,2019
DeMar DeRozan,SG,29,SAS,7,251,23.2,.557,.008,.370,4.3,15.8,10.1,21.6,1.7,0.3,8.0,27.7,,0.6,0.1,0.8,.149,,3.0,0.8,3.8,0.4,2019
Spencer Dinwiddie,PG,25,BRK,5,131,12.4,.536,.387,.226,2.9,7.7,5.1,10.3,0.7,0.0,10.5,23.6,,0.0,-0.1,0.0,-0.001,,-0.4,-2.7,-3.2,0.0,2019
Andre Drummond,C,25,DET,4,127,15.6,.451,.019,.389,13.9,29.3,20.6,12.0,2.2,3.6,14.8,24.5,,-0.2,0.1,-0.1,-0.042,,-1.9,-1.0,-2.9,0.0,2019
Jared Dudley,PF,33,BRK,4,82,4.7,.470,.818,.364,0.0,2.7,1.3,17.6,1.7,0.9,23.9,8.3,,0.0,0.0,0.0,-0.018,,-4.0,2.0,-2.0,0.0,2019
Kevin Durant,SF,30,GSW,12,442,26.8,.661,.329,.465,0.3,14.7,7.7,21.6,1.4,2.6,12.8,32.9,,1.6,0.3,1.9,.206,,6.8,0.8,7.6,1.1,2019
Wayne Ellington,SG,31,DET,4,131,5.7,.432,.629,.057,2.0,10.7,5.8,5.5,1.1,0.0,5.3,12.1,,-0.1,-0.1,-0.2,-0.061,,-3.5,-2.2,-5.7,-0.1,2019
Joel Embiid,C,24,PHI,11,334,21.8,.559,.245,.566,7.2,28.9,18.6,17.9,1.2,6.7,16.8,30.2,,0.3,0.7,1.0,.149,,2.5,2.6,5.1,0.6,2019
James Ennis III,SF,28,PHI,11,232,11.3,.574,.500,.297,7.9,11.5,9.8,7.5,0.8,1.2,12.1,15.0,,0.3,0.2,0.5,.105,,-0.7,0.5,-0.2,0.1,2019
Jacob Evans,SG,21,GSW,7,18,0.4,.500,.400,.000,0.0,6.2,3.2,7.5,0.0,0.0,28.6,16.9,,0.0,0.0,0.0,-0.133,,-6.5,-3.2,-9.7,0.0,2019
Tyreke Evans,SG,29,IND,4,84,17.0,.563,.417,.292,0.0,24.4,11.0,8.0,1.2,1.1,10.0,32.9,,-0.1,0.1,0.1,.045,,2.4,1.1,3.5,0.1,2019
Kenneth Faried,C,29,HOU,6,56,22.9,.767,.077,.462,6.2,35.1,21.1,5.9,1.8,0.0,0.0,12.3,,0.3,0.1,0.4,.304,,4.2,2.0,6.3,0.1,2019
Derrick Favors,C,27,UTA,5,103,27.9,.665,.083,.528,14.7,23.3,18.9,7.8,1.9,10.0,10.1,20.4,,0.3,0.2,0.5,.248,,4.1,3.7,7.9,0.3,2019
Raymond Felton,PG,34,OKC,5,57,4.2,.396,.615,.154,0.0,5.8,2.9,7.3,3.4,1.5,12.6,11.9,,-0.1,0.1,0.0,-0.021,,-6.3,2.5,-3.8,0.0,2019
