Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
Precious Achiuwa,PF,21,MIA,3,12,8.1,.608,.000,1.000,0.0,50.8,24.3,0.0,0.0,15.2,41.0,35.7,,-0.1,0.0,-0.1,-0.309,,-11.3,2.8,-8.5,0.0,2021
Bam Adebayo,C,23,MIA,4,136,14.9,.494,.000,.228,9.6,17.2,13.2,23.8,1.8,1.3,14.9,23.8,,-0.1,0.1,0.0,.011,,0.4,0.5,0.9,0.1,2021
Ty-Shon Alexander,SG,22,PHO,1,1,79.0,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,,0.0,0.0,0.0,1.248,,23.7,5.9,29.5,0.0,2021
Grayson Allen,SG,25,MEM,5,116,5.3,.478,.636,.030,2.6,10.4,6.2,1.1,0.8,0.9,2.9,12.5,,0.0,-0.1,-0.1,-0.035,,-3.7,-2.1,-5.7,-0.1,2021
Kyle Anderson,PF,27,MEM,5,142,13.7,.480,.286,.095,2.9,17.8,9.7,14.2,4.8,0.0,8.4,14.2,,0.0,0.1,0.1,.042,,0.0,2.4,2.4,0.2,2021
Giannis Antetokounmpo,PF,26,MIL,21,800,27.6,.599,.159,.469,7.8,28.7,18.0,24.3,1.3,2.9,10.8,31.8,,2.0,1.7,3.7,.224,,6.7,3.2,9.9,2.4,2021
Thanasis Antetokounmpo,SF,28,MIL,13,45,10.0,.467,.000,.857,7.0,17.0,11.9,8.1,5.5,4.1,23.7,12.0,,0.0,0.1,0.1,.116,,-7.5,6.4,-1.1,0.0,2021
Carmelo Anthony,PF,36,POR,6,143,12.2,.571,.617,.183,1.7,13.4,7.7,9.4,0.7,0.6,9.7,22.7,,0.1,0.0,0.1,.023,,0.3,-2.1,-1.8,0.0,2021
Trevor Ariza,SF,35,MIA,4,96,4.0,.413,.739,.000,1.9,22.2,11.7,3.2,1.5,1.0,11.5,11.9,,-0.2,0.1,-0.1,-0.031,,-5.7,1.0,-4.7,-0.1,2021
Deandre Ayton,C,22,PHO,22,801,19.5,.674,.000,.226,9.9,25.3,18.1,4.7,1.1,2.8,9.8,16.3,,1.9,1.5,3.4,.203,,2.1,0.9,3.0,1.0,2021
Udoka Azubuike,C,21,UTA,1,1,12.0,,,,0.0,100.0,58.1,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.116,,2.2,1.8,3.9,0.0,2021
Desmond Bane,SG,22,MEM,5,99,14.2,.737,.632,.000,2.1,18.3,9.5,12.5,1.9,2.2,13.6,9.4,,0.2,0.0,0.2,.093,,1.8,1.9,3.7,0.1,2021
RJ Barrett,SG,20,NYK,5,162,14.2,.489,.418,.224,2.5,22.3,11.8,16.6,1.3,1.2,2.6,20.7,,0.1,0.3,0.3,.104,,0.5,2.6,3.2,0.2,2021
Will Barton,SF,30,DEN,3,83,15.7,.547,.488,.093,1.3,17.7,8.8,15.3,1.2,1.1,8.2,25.6,,0.0,0.0,0.1,.030,,1.9,0.4,2.3,0.1,2021
Nicolas Batum,SF,32,LAC,19,555,14.9,.642,.661,.211,4.0,17.7,10.9,9.8,2.2,1.8,4.8,10.5,,1.2,0.6,1.8,.155,,2.0,2.2,4.3,0.9,2021
Bradley Beal,SG,27,WAS,5,195,17.5,.540,.260,.293,3.2,14.5,8.7,19.3,1.0,1.2,12.6,34.1,,-0.1,0.0,0.0,-0.010,,3.9,-2.3,1.6,0.2,2021
Dāvis Bertāns,PF,28,WAS,4,106,8.5,.615,.852,.259,0.0,11.7,5.6,1.3,0.4,1.5,3.2,12.3,,0.1,0.0,0.1,.057,,-1.6,-1.1,-2.7,0.0,2021
Patrick Beverley,PG,32,LAC,17,323,12.0,.560,.544,.206,4.0,10.6,7.3,10.3,1.9,3.6,5.1,11.3,,0.5,0.3,0.8,.116,,-0.4,1.9,1.6,0.3,2021
Nemanja Bjelica,PF,32,MIA,2,30,22.1,.660,.727,.545,3.1,13.5,8.1,12.1,3.2,3.0,0.0,20.0,,0.1,0.0,0.1,.221,,6.4,3.7,10.1,0.1,2021
Keljin Blevins,SF,25,POR,2,4,5.8,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,,0.0,0.0,0.0,-0.070,,-9.3,-3.2,-12.5,0.0,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Bogdan Bogdanović,SG,28,ATL,18,598,10.9,.493,.574,.068,2.0,11.6,6.8,13.4,2.4,0.7,9.5,21.0,,-0.4,0.9,0.5,.037,,-0.1,0.5,0.4,0.4,2021
Bojan Bogdanović,SF,31,UTA,11,390,13.8,.642,.555,.299,1.9,11.7,7.0,6.2,1.3,0.0,12.9,20.2,,0.6,0.0,0.5,.067,,1.1,-0.6,0.5,0.2,2021
Bol Bol,PF,21,DEN,3,6,5.7,.000,1.000,.000,0.0,20.4,9.4,38.8,0.0,0.0,0.0,7.3,,0.0,0.0,0.0,-0.042,,-0.5,3.3,2.8,0.0,2021
Isaac Bonga,SF,21,WAS,4,10,-15.3,.000,.600,.000,0.0,0.0,0.0,0.0,0.0,8.1,0.0,20.9,,-0.1,0.0,-0.1,-0.497,,-13.8,-6.2,-20.0,0.0,2021
Devin Booker,SG,24,PHO,22,889,16.1,.558,.289,.310,2.0,12.9,7.8,18.3,1.0,0.4,13.1,31.8,,0.1,1.1,1.2,.066,,0.7,-1.1,-0.4,0.4,2021
Jarrell Brantley,PF,24,UTA,2,3,-19.3,.266,.000,2.000,0.0,37.2,19.4,0.0,0.0,0.0,34.7,42.5,,0.0,0.0,0.0,-0.754,,-19.3,-8.8,-28.1,0.0,2021
Mikal Bridges,SF,24,PHO,22,707,12.9,.603,.500,.147,3.3,11.0,7.4,7.1,1.6,2.0,7.3,14.1,,0.8,1.0,1.8,.125,,0.8,0.9,1.7,0.7,2021
