Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Precious Achiuwa,PF,21,MIA,3,0,4.0,1.0,1.3,.750,0.0,0.0,,1.0,1.3,.750,.750,0.3,1.3,.250,0.0,2.0,2.0,0.0,0.0,0.7,1.3,0.3,2.3,2021
Bam Adebayo,C,23,MIA,4,4,34.0,6.5,14.3,.456,0.0,0.0,,6.5,14.3,.456,.456,2.5,3.3,.769,3.5,5.8,9.3,4.3,1.3,0.5,2.8,2.8,15.5,2021
Ty-Shon Alexander,SG,22,PHO,1,0,1.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2021
Grayson Allen,SG,25,MEM,5,0,23.2,2.4,6.6,.364,1.6,4.2,.381,0.8,2.4,.333,.485,0.0,0.2,.000,0.6,2.0,2.6,0.2,0.4,0.2,0.2,2.6,6.4,2021
Kyle Anderson,PF,27,MEM,5,5,28.4,3.6,8.4,.429,0.6,2.4,.250,3.0,6.0,.500,.464,0.6,0.8,.750,0.8,4.2,5.0,3.2,2.8,0.0,0.8,1.8,8.4,2021
Giannis Antetokounmpo,PF,26,MIL,21,21,38.1,11.9,20.9,.569,0.6,3.3,.186,11.3,17.6,.642,.584,5.8,9.8,.587,2.8,10.0,12.8,5.1,1.0,1.2,3.0,2.9,30.2,2021
Thanasis Antetokounmpo,SF,28,MIL,13,0,3.5,0.2,0.5,.286,0.0,0.0,,0.2,0.5,.286,.286,0.4,0.5,.833,0.2,0.5,0.8,0.2,0.4,0.2,0.2,0.9,0.7,2021
Carmelo Anthony,PF,36,POR,6,0,23.8,4.2,10.0,.417,2.3,6.2,.378,1.8,3.8,.478,.533,1.7,1.8,.909,0.3,2.8,3.2,1.5,0.3,0.2,1.2,2.5,12.3,2021
Trevor Ariza,SF,35,MIA,4,4,24.0,1.8,5.8,.304,1.3,4.3,.294,0.5,1.5,.333,.413,0.0,0.0,,0.5,5.3,5.8,0.5,0.8,0.3,0.8,2.8,4.8,2021
Deandre Ayton,C,22,PHO,22,22,36.4,7.0,10.6,.658,0.0,0.0,,7.0,10.6,.658,.658,1.8,2.4,.736,3.0,8.8,11.8,1.1,0.8,1.1,1.3,2.9,15.8,2021
Udoka Azubuike,C,21,UTA,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Desmond Bane,SG,22,MEM,5,0,19.8,2.2,3.8,.579,1.2,2.4,.500,1.0,1.4,.714,.737,0.0,0.0,,0.4,3.0,3.4,2.0,0.8,0.4,0.6,1.2,5.6,2021
RJ Barrett,SG,20,NYK,5,5,32.4,5.2,13.4,.388,1.6,5.6,.286,3.6,7.8,.462,.448,2.4,3.0,.800,0.8,6.4,7.2,3.0,0.8,0.4,0.4,2.2,14.4,2021
Will Barton,SF,30,DEN,3,1,27.7,6.3,14.3,.442,2.3,7.0,.333,4.0,7.3,.545,.523,1.3,1.3,1.000,0.3,4.0,4.3,2.7,0.7,0.3,1.3,1.3,16.3,2021
Nicolas Batum,SF,32,LAC,19,10,29.2,2.8,5.7,.486,1.5,3.8,.389,1.3,1.9,.676,.615,1.0,1.2,.826,1.0,4.5,5.5,2.1,1.3,0.5,0.3,1.4,8.1,2021
Bradley Beal,SG,27,WAS,5,5,39.0,11.2,24.6,.455,1.4,6.4,.219,9.8,18.2,.538,.484,6.2,7.2,.861,1.2,5.0,6.2,4.2,0.8,0.6,4.0,1.2,30.0,2021
Dāvis Bertāns,PF,28,WAS,4,2,26.5,2.8,6.8,.407,2.0,5.8,.348,0.8,1.0,.750,.556,1.8,1.8,1.000,0.0,2.8,2.8,0.3,0.3,0.5,0.3,3.0,9.3,2021
Patrick Beverley,PG,32,LAC,17,7,19.0,1.7,4.0,.426,0.8,2.2,.351,0.9,1.8,.516,.522,0.7,0.8,.857,0.6,1.8,2.4,1.4,0.7,0.7,0.2,2.1,4.9,2021
Nemanja Bjelica,PF,32,MIA,2,0,15.0,2.5,5.5,.455,2.0,4.0,.500,0.5,1.5,.333,.636,2.0,3.0,.667,0.5,2.0,2.5,1.0,1.0,0.5,0.0,2.5,9.0,2021
Keljin Blevins,SF,25,POR,2,0,2.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Bogdan Bogdanović,SG,28,ATL,18,18,33.2,5.4,13.8,.390,2.6,7.9,.329,2.8,5.9,.472,.484,0.7,0.9,.706,0.6,3.6,4.2,2.9,1.6,0.3,1.5,2.8,14.1,2021
Bojan Bogdanović,SF,31,UTA,11,11,35.5,5.8,12.5,.467,3.2,6.9,.461,2.6,5.5,.475,.595,3.3,3.7,.878,0.5,3.7,4.3,1.5,0.9,0.0,2.1,2.5,18.1,2021
Bol Bol,PF,21,DEN,3,0,2.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,2021
Isaac Bonga,SF,21,WAS,4,0,2.5,0.0,1.3,.000,0.0,0.8,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2021
Devin Booker,SG,24,PHO,22,22,40.4,9.6,21.5,.447,2.0,6.2,.321,7.6,15.3,.499,.494,6.0,6.7,.905,0.7,5.0,5.6,4.5,0.8,0.2,3.7,3.5,27.3,2021
Jarrell Brantley,PF,24,UTA,2,0,1.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.5,1.0,.500,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,2021
Mikal Bridges,SF,24,PHO,22,22,32.1,4.2,8.6,.484,1.6,4.3,.368,2.6,4.3,.600,.576,1.1,1.3,.893,0.9,3.4,4.3,1.6,1.0,0.7,0.7,1.9,11.1,2021
Dillon Brooks,SF,25,MEM,5,5,35.0,10.0,19.4,.515,1.6,4.0,.400,8.4,15.4,.545,.557,4.2,5.2,.808,1.0,3.2,4.2,2.2,1.4,0.4,1.8,3.4,25.8,2021
Bruce Brown,PG,24,BRK,12,5,23.1,3.3,6.6,.506,0.2,0.9,.182,3.2,5.7,.559,.519,1.1,1.3,.813,1.9,3.2,5.1,2.1,0.7,0.4,0.9,2.6,7.9,2021
Jalen Brunson,PG,24,DAL,7,0,16.3,2.9,6.3,.455,0.9,1.9,.462,2.0,4.4,.452,.523,1.4,1.9,.769,0.9,1.7,2.6,1.4,0.0,0.0,0.6,0.9,8.0,2021
Elijah Bryant,SG,25,MIL,11,0,4.5,0.6,1.8,.350,0.0,0.7,.000,0.6,1.1,.583,.350,0.0,0.0,,0.2,0.9,1.1,0.4,0.2,0.1,0.2,0.1,1.3,2021
Reggie Bullock,SF,29,NYK,5,5,32.4,3.0,7.8,.385,2.0,5.8,.345,1.0,2.0,.500,.513,0.8,1.0,.800,1.0,2.4,3.4,1.2,0.6,0.2,0.8,2.2,8.8,2021
Trey Burke,PG,28,DAL,2,0,8.5,0.0,3.5,.000,0.0,1.5,.000,0.0,2.0,.000,.000,0.5,1.0,.500,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,2021
Alec Burks,SG,29,NYK,5,0,25.6,4.8,11.2,.429,1.6,4.8,.333,3.2,6.4,.500,.500,2.8,3.8,.737,1.0,4.0,5.0,2.6,0.2,0.0,0.8,2.2,14.0,2021
Jimmy Butler,SF,31,MIA,4,4,38.5,4.8,16.0,.297,1.0,3.8,.267,3.8,12.3,.306,.328,4.0,5.5,.727,1.5,6.0,7.5,7.0,1.3,0.3,2.3,1.5,14.5,2021
Kentavious Caldwell-Pope,SG,27,LAL,5,5,29.2,2.2,5.8,.379,0.8,3.8,.211,1.4,2.0,.700,.448,1.0,1.0,1.000,0.4,2.4,2.8,1.0,1.0,0.0,0.4,3.0,6.2,2021
Facundo Campazzo,PG,29,DEN,10,9,27.0,2.9,7.4,.392,1.9,4.8,.396,1.0,2.6,.385,.520,1.6,1.9,.842,0.7,2.3,3.0,4.1,1.4,0.4,1.5,3.5,9.3,2021
Vlatko Čančar,PF,23,DEN,5,0,4.2,0.6,0.6,1.000,0.2,0.2,1.000,0.4,0.4,1.000,1.167,0.8,1.0,.800,0.0,0.6,0.6,0.2,0.2,0.2,0.2,0.0,2.2,2021
Clint Capela,C,26,ATL,18,18,31.6,4.6,7.6,.603,0.0,0.0,,4.6,7.6,.603,.603,0.9,2.2,.436,3.4,7.8,11.2,0.9,0.7,1.1,1.0,2.6,10.1,2021
Jevon Carter,PG,25,PHO,7,0,3.1,0.4,1.1,.375,0.0,0.3,.000,0.4,0.9,.500,.375,0.0,0.3,.000,0.0,0.3,0.3,0.6,0.0,0.0,0.0,0.0,0.9,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Alex Caruso,PG,26,LAL,6,0,20.2,2.3,6.3,.368,0.8,2.8,.294,1.5,3.5,.429,.434,0.3,0.3,1.000,0.3,1.0,1.3,0.5,0.2,0.7,1.2,2.0,5.8,2021
Willie Cauley-Stein,C,27,DAL,6,0,10.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.5,0.5,1.000,0.5,2.2,2.7,0.5,0.3,0.7,0.5,1.3,2.5,2021
Chris Chiozza,PG,25,BRK,6,0,3.2,0.3,1.2,.286,0.2,0.5,.333,0.2,0.7,.250,.357,0.0,0.0,,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.3,0.8,2021
Brandon Clarke,PF,24,MEM,2,0,4.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,1.0,2021
Jordan Clarkson,SG,28,UTA,11,0,27.1,6.1,15.0,.406,3.1,8.8,.351,3.0,6.2,.485,.509,2.3,2.4,.962,0.5,2.5,3.1,1.5,0.6,0.3,2.1,1.4,17.5,2021
Nic Claxton,C,21,BRK,12,0,10.8,1.2,2.4,.483,0.0,0.0,,1.2,2.4,.483,.483,0.2,0.3,.667,1.2,1.6,2.8,0.6,0.3,1.0,0.3,1.7,2.5,2021
Amir Coffey,SG,23,LAC,10,0,1.6,0.3,0.4,.750,0.1,0.1,1.000,0.2,0.3,.667,.875,0.0,0.1,.000,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.0,0.7,2021
John Collins,PF,23,ATL,18,18,32.0,5.6,10.1,.549,1.1,3.1,.357,4.4,7.0,.635,.604,1.7,2.0,.833,2.0,6.7,8.7,0.9,0.4,0.6,1.3,3.3,13.9,2021
Mike Conley,PG,33,UTA,6,6,29.3,4.8,11.3,.426,3.0,6.2,.486,1.8,5.2,.355,.559,2.7,2.7,1.000,0.5,3.0,3.5,7.7,0.2,0.5,2.3,2.5,15.3,2021
Pat Connaughton,SG,28,MIL,23,1,23.7,2.4,5.2,.462,1.6,4.1,.389,0.8,1.0,.750,.618,0.5,0.6,.846,1.3,3.1,4.4,0.9,0.4,0.3,0.5,1.7,6.9,2021
DeMarcus Cousins,C,30,LAC,7,0,8.3,2.7,6.0,.452,0.6,1.4,.400,2.1,4.6,.469,.500,1.6,2.0,.786,0.9,1.1,2.0,0.7,0.3,0.4,0.7,1.9,7.6,2021
Robert Covington,PF,30,POR,6,6,38.0,3.0,6.0,.500,1.8,3.7,.500,1.2,2.3,.500,.653,1.5,1.7,.900,1.5,6.3,7.8,1.2,1.5,1.0,1.3,3.3,9.3,2021
Torrey Craig,SF,30,PHO,22,0,12.1,1.5,3.4,.427,0.7,1.7,.405,0.8,1.7,.447,.527,0.4,0.6,.615,0.9,2.0,2.9,0.4,0.0,0.4,0.5,1.5,4.0,2021
Jae Crowder,PF,30,PHO,22,22,33.1,3.5,8.4,.413,2.5,6.5,.380,1.0,1.9,.524,.560,1.4,1.6,.886,0.5,5.6,6.1,1.9,0.9,0.8,0.9,3.0,10.8,2021
Seth Curry,SG,30,PHI,12,12,31.8,7.1,12.3,.578,3.4,6.8,.506,3.7,5.5,.667,.718,1.3,1.6,.789,0.3,2.0,2.3,2.3,0.8,0.3,0.8,2.8,18.8,2021
Anthony Davis,PF,27,LAL,5,5,28.8,5.0,12.4,.403,0.4,2.2,.182,4.6,10.2,.451,.419,7.0,8.4,.833,1.4,5.2,6.6,2.6,0.6,1.6,1.2,1.8,17.4,2021
Dewayne Dedmon,C,31,MIA,4,0,14.3,2.5,4.5,.556,0.3,0.8,.333,2.3,3.8,.600,.583,1.0,1.3,.800,2.0,2.5,4.5,0.8,0.0,0.5,1.5,2.5,6.3,2021
Mamadi Diakite,PF,24,MIL,7,0,5.0,0.3,1.4,.200,0.1,0.3,.500,0.1,1.1,.125,.250,0.3,0.3,1.000,0.1,0.9,1.0,0.0,0.4,0.1,0.1,1.0,1.0,2021
Donte DiVincenzo,SG,24,MIL,3,3,23.3,1.0,5.3,.188,0.7,4.0,.167,0.3,1.3,.250,.250,0.0,0.0,,0.7,5.7,6.3,2.7,1.0,0.3,2.0,1.3,2.7,2021
Luka Dončić,PG,21,DAL,7,7,40.1,13.7,28.0,.490,4.4,10.9,.408,9.3,17.1,.542,.569,3.9,7.3,.529,0.6,7.3,7.9,10.3,1.3,0.4,4.6,2.4,35.7,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Goran Dragić,PG,34,MIA,4,2,29.3,5.8,13.5,.426,2.3,6.5,.346,3.5,7.0,.500,.509,2.3,3.0,.750,0.3,1.5,1.8,2.8,1.0,0.5,1.5,2.8,16.0,2021
