Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
Jaylen Adams,PG,23,POR,3,21,7.7,.333,.444,.000,5.0,10.1,7.5,14.9,2.2,0.0,0.0,17.9,,0.0,0.0,0.0,-0.051,,-3.6,-2.6,-6.1,0.0,2020
Steven Adams,C,26,OKC,7,210,16.3,.584,.019,.385,17.6,22.6,20.2,7.1,0.9,1.2,20.8,15.8,,0.2,0.3,0.5,.109,,0.6,-0.7,-0.1,0.1,2020
Bam Adebayo,PF,22,MIA,19,687,20.8,.625,.005,.523,8.2,24.2,16.5,20.5,1.4,2.3,14.8,21.0,,1.7,0.9,2.6,.180,,2.3,1.8,4.1,1.0,2020
Jarrett Allen,C,21,BRK,4,132,17.1,.660,.000,.667,12.1,34.5,22.5,10.5,0.7,5.1,26.2,13.1,,0.2,0.1,0.2,.078,,-0.3,0.3,-0.1,0.1,2020
Justin Anderson,SG,26,BRK,3,28,20.6,.690,.917,.333,0.0,31.0,14.4,18.6,0.0,3.4,12.7,23.2,,0.1,0.0,0.1,.112,,5.1,2.0,7.0,0.1,2020
Giannis Antetokounmpo,PF,25,MIL,9,277,31.3,.610,.248,.503,10.3,38.2,24.0,36.7,1.0,3.1,13.2,35.2,,0.9,0.5,1.4,.238,,7.8,3.4,11.2,0.9,2020
Carmelo Anthony,PF,35,POR,5,176,8.4,.512,.279,.206,0.6,14.4,7.5,9.1,1.3,1.0,14.9,20.6,,-0.2,0.1,-0.1,-0.021,,-2.3,-0.7,-2.9,0.0,2020
OG Anunoby,SF,22,TOR,11,393,11.5,.573,.466,.318,7.0,14.0,10.4,4.7,1.4,3.5,13.8,13.1,,0.2,0.7,0.9,.116,,-0.6,1.5,0.9,0.3,2020
D.J. Augustin,PG,32,ORL,5,128,15.0,.588,.370,.500,0.0,8.4,4.0,36.9,0.4,0.0,17.6,22.7,,0.2,0.1,0.2,.089,,1.6,-1.7,0.0,0.1,2020
J.J. Barea,PG,35,DAL,1,5,4.4,.647,.000,3.000,0.0,0.0,0.0,0.0,0.0,0.0,30.1,28.6,,0.0,0.0,0.0,-0.097,,-7.9,-5.9,-13.8,0.0,2020
Keita Bates-Diop,SF,24,DEN,5,24,5.7,.255,.000,.400,15.0,14.8,14.9,5.5,0.0,0.0,0.0,11.2,,0.0,0.0,0.0,-0.031,,-2.0,-4.7,-6.8,0.0,2020
Darius Bazley,PF,19,OKC,7,126,14.3,.650,.710,.323,1.7,36.0,19.5,7.3,0.0,2.9,14.5,14.2,,0.2,0.2,0.3,.133,,2.7,3.0,5.7,0.2,2020
Patrick Beverley,PG,31,LAC,8,166,13.7,.613,.564,.103,6.0,16.3,11.1,15.8,2.4,1.7,14.7,12.6,,0.3,0.2,0.5,.146,,-1.1,3.6,2.5,0.2,2020
Khem Birch,C,27,ORL,5,89,11.6,.637,.000,.786,9.9,19.4,14.4,11.3,0.5,0.0,21.0,11.4,,0.2,0.1,0.2,.121,,-2.0,0.5,-1.4,0.0,2020
Eric Bledsoe,PG,30,MIL,9,267,12.6,.480,.327,.265,2.0,14.7,8.2,29.0,2.0,2.4,17.4,21.3,,-0.1,0.4,0.3,.051,,-1.4,1.2,-0.2,0.1,2020
Bol Bol,PF,20,DEN,4,21,42.6,.759,.333,.889,17.1,11.3,14.2,0.0,4.9,9.3,13.8,31.5,,0.1,0.0,0.2,.379,,13.6,4.0,17.6,0.1,2020
Chris Boucher,C,27,TOR,7,43,4.3,.350,.455,.091,7.4,23.1,15.0,3.2,0.0,5.0,8.0,12.8,,-0.1,0.1,0.0,.013,,-5.0,-2.2,-7.2,-0.1,2020
Tony Bradley,C,22,UTA,6,48,12.8,.373,.000,.778,24.9,31.1,28.1,2.7,2.2,4.0,24.9,15.7,,0.0,0.1,0.0,.031,,-3.7,-3.3,-7.0,-0.1,2020
Jarrell Brantley,PF,23,UTA,2,13,-5.3,.085,.600,.400,27.6,8.8,18.0,18.8,0.0,7.5,14.5,24.8,,-0.1,0.0,-0.1,-0.287,,-16.9,-4.8,-21.7,-0.1,2020
Malcolm Brogdon,PG,27,IND,4,160,18.9,.556,.369,.431,0.0,12.8,6.2,41.8,1.2,0.0,11.5,25.1,,0.3,0.0,0.4,.109,,3.5,-0.8,2.6,0.2,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Jaylen Brown,SG,23,BOS,17,672,17.1,.586,.417,.219,4.2,16.5,10.6,9.9,1.9,1.3,11.5,23.7,,0.7,1.1,1.8,.130,,2.2,1.1,3.3,0.9,2020
Sterling Brown,SF,24,MIL,1,4,-7.9,.000,1.000,.000,0.0,27.2,13.4,0.0,0.0,0.0,0.0,10.8,,0.0,0.0,0.0,-0.217,,-11.6,-4.7,-16.3,0.0,2020
