Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
Jordan Adams,SG,20,MEM,4,10,31.4,.735,.333,1.333,0.0,11.3,5.5,0.0,5.2,0.0,0.0,21.7,,0.1,0.0,0.1,.327,,11.7,7.1,18.8,0.1,2015
Arron Afflalo,SG,29,POR,3,60,-5.0,.201,.333,.083,0.0,12.8,6.3,5.0,0.0,0.0,19.4,11.8,,-0.2,0.0,-0.2,-0.186,,-8.8,-3.0,-11.8,-0.1,2015
Alexis Ajinça,C,26,NOP,3,10,42.0,1.000,.000,.000,0.0,10.9,5.6,26.9,5.2,0.0,0.0,18.3,,0.1,0.0,0.1,.367,,10.9,7.9,18.8,0.1,2015
LaMarcus Aldridge,PF,29,POR,5,208,16.7,.426,.098,.321,10.8,18.4,14.6,8.4,0.5,3.8,5.9,29.9,,0.0,0.2,0.1,.032,,1.7,-1.4,0.4,0.1,2015
Tony Allen,SG,33,MEM,10,279,14.2,.530,.123,.211,5.4,15.3,10.3,8.3,4.5,3.6,17.3,12.3,,0.1,0.6,0.6,.111,,-1.2,5.1,3.9,0.4,2015
Al-Farouq Aminu,SF,24,DAL,5,150,20.4,.711,.355,.613,9.3,15.6,12.3,5.3,3.1,4.3,13.2,12.4,,0.5,0.1,0.6,.199,,4.4,3.1,7.5,0.4,2015
Alan Anderson,SG,32,BRK,6,142,17.7,.734,.390,.220,1.5,14.5,8.0,8.7,1.4,0.6,15.1,17.1,,0.3,0.1,0.4,.145,,2.9,1.7,4.6,0.2,2015
Ryan Anderson,PF,26,NOP,4,95,16.2,.556,.333,.167,8.4,11.5,10.0,15.7,0.0,1.8,9.4,20.6,,0.2,-0.1,0.2,.078,,2.8,-1.4,1.4,0.1,2015
Giannis Antetokounmpo,SG,20,MIL,6,201,10.9,.425,.014,.324,5.8,17.3,11.1,14.3,0.8,4.0,11.9,20.6,,-0.2,0.2,0.0,-0.003,,-2.6,0.3,-2.3,0.0,2015
Pero Antić,C,32,ATL,15,199,8.5,.516,.640,.500,4.8,18.3,11.6,3.0,0.5,1.2,7.6,15.1,,0.2,0.2,0.4,.092,,-3.9,-0.3,-4.2,-0.1,2015
Trevor Ariza,SF,29,HOU,17,655,12.9,.576,.545,.239,2.9,14.2,8.6,10.1,2.2,0.2,10.6,13.9,,1.0,0.4,1.3,.098,,0.2,1.6,1.7,0.6,2015
Ömer Aşık,C,28,NOP,4,79,9.4,.306,.000,.700,17.3,23.4,20.4,10.2,3.3,0.0,27.7,10.5,,0.0,0.0,0.0,-0.001,,-2.4,-0.2,-2.6,0.0,2015
Jeff Ayres,PF,27,SAS,3,12,5.7,.000,.000,.000,0.0,27.6,13.3,21.2,0.0,0.0,0.0,3.7,,0.0,0.0,0.0,.014,,-1.5,3.5,2.0,0.0,2015
Leandro Barbosa,SG,32,GSW,21,229,13.3,.532,.261,.250,3.9,8.9,6.4,12.8,1.3,0.3,10.9,21.5,,0.3,0.3,0.5,.113,,-0.8,-0.1,-0.9,0.1,2015
J.J. Barea,PG,30,DAL,5,154,13.7,.495,.281,.105,3.2,13.2,8.0,34.1,1.2,0.0,19.0,19.6,,0.1,0.0,0.1,.040,,0.4,-0.7,-0.2,0.1,2015
Harrison Barnes,SF,22,GSW,21,681,12.2,.519,.310,.170,7.3,10.3,8.8,7.2,1.3,1.3,9.3,15.6,,0.8,0.8,1.6,.115,,0.4,0.3,0.7,0.5,2015
Matt Barnes,SF,34,LAC,14,409,9.7,.492,.600,.200,4.2,13.9,9.1,7.4,2.4,2.1,12.8,13.2,,0.1,0.4,0.5,.055,,-1.3,0.9,-0.4,0.2,2015
Brandon Bass,PF,29,BOS,4,86,9.0,.410,.000,.500,3.7,6.5,5.1,18.1,0.6,3.4,10.9,14.2,,0.0,0.0,0.0,-0.022,,-0.4,0.8,0.4,0.1,2015
Nicolas Batum,SF,26,POR,5,209,11.1,.469,.557,.186,3.1,19.4,11.1,21.4,0.2,0.3,13.7,19.2,,0.0,0.1,0.1,.021,,0.4,-0.6,-0.2,0.1,2015
Jerryd Bayless,PG,26,MIL,6,120,12.2,.459,.200,.486,3.3,10.6,6.6,25.5,0.9,1.5,8.6,17.4,,0.1,0.1,0.2,.060,,-1.4,0.2,-1.2,0.0,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
Aron Baynes,C,28,SAS,4,40,1.3,.398,.000,.300,7.8,19.3,13.3,3.5,0.0,0.0,20.9,16.1,,-0.1,0.0,0.0,-0.056,,-8.6,-1.1,-9.7,-0.1,2015
Kent Bazemore,SG,25,ATL,16,303,10.5,.514,.394,.437,1.1,17.7,9.4,6.5,1.9,2.4,11.5,14.4,,0.0,0.4,0.5,.072,,-2.7,1.5,-1.2,0.1,2015
Bradley Beal,SG,21,WAS,10,418,17.9,.518,.315,.295,3.8,10.3,7.1,19.1,1.9,1.3,10.3,26.7,,0.7,0.6,1.2,.140,,1.7,1.3,3.0,0.5,2015
