Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Steven Adams,C,22,OKC,18,18,30.7,3.8,6.2,.613,0.0,0.1,.000,3.8,6.1,.618,.613,2.6,4.1,.630,3.4,6.1,9.5,0.7,0.5,0.8,0.9,3.1,10.1,2016
Cole Aldrich,C,27,LAC,6,0,12.8,1.7,2.5,.667,0.0,0.0,,1.7,2.5,.667,.667,0.5,1.0,.500,1.3,3.7,5.0,0.5,1.0,0.5,0.3,1.8,3.8,2016
LaMarcus Aldridge,PF,30,SAS,10,10,33.7,8.8,16.9,.521,0.2,0.2,1.000,8.6,16.7,.515,.527,4.1,4.6,.891,2.2,6.1,8.3,1.0,0.4,1.4,1.1,1.8,21.9,2016
Lavoy Allen,PF,26,IND,6,3,8.5,0.5,1.7,.300,0.0,0.0,,0.5,1.7,.300,.300,0.0,0.0,,0.7,1.7,2.3,0.3,0.2,0.2,0.2,0.3,1.0,2016
Tony Allen,SG,34,MEM,4,2,23.5,2.5,8.3,.303,0.3,1.8,.143,2.3,6.5,.346,.318,2.3,3.3,.692,1.5,1.3,2.8,0.8,1.3,0.5,1.5,2.8,7.5,2016
Al-Farouq Aminu,SF,25,POR,11,11,33.8,5.1,11.6,.438,2.5,6.4,.400,2.5,5.3,.483,.547,1.9,2.6,.724,2.1,6.5,8.6,1.8,0.7,0.9,1.9,2.8,14.6,2016
Chris Andersen,C,37,MEM,4,2,19.8,1.3,3.0,.417,0.0,0.0,,1.3,3.0,.417,.417,1.3,2.0,.625,3.3,4.5,7.8,0.8,0.5,0.8,1.3,1.0,3.8,2016
Justin Anderson,SF,22,DAL,5,1,19.0,3.4,7.4,.459,0.8,2.6,.308,2.6,4.8,.542,.514,1.8,2.8,.643,1.8,2.2,4.0,1.4,0.8,0.6,1.0,2.4,9.4,2016
Kyle Anderson,SF,22,SAS,10,0,12.9,0.8,2.5,.320,0.1,0.3,.333,0.7,2.2,.318,.340,0.6,0.7,.857,0.2,2.2,2.4,0.7,0.6,0.3,0.4,1.1,2.3,2016
Trevor Ariza,SF,30,HOU,5,5,36.2,2.6,10.2,.255,0.8,5.6,.143,1.8,4.6,.391,.294,0.6,0.8,.750,1.4,2.8,4.2,0.8,2.6,0.2,2.4,3.2,6.6,2016
Jeff Ayres,C,28,LAC,2,0,1.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.5,0.5,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2016
Leandro Barbosa,SG,33,GSW,23,0,11.0,2.2,3.8,.580,0.5,1.2,.393,1.7,2.6,.667,.642,0.7,0.9,.762,0.5,0.7,1.2,0.7,0.5,0.0,0.5,1.0,5.6,2016
J.J. Barea,PG,31,DAL,4,2,25.0,2.8,8.5,.324,0.3,2.0,.125,2.5,6.5,.385,.338,0.5,0.5,1.000,0.0,1.5,1.5,5.0,0.0,0.0,2.8,2.0,6.3,2016
Harrison Barnes,SF,23,GSW,24,23,31.0,3.4,8.9,.385,1.1,3.2,.342,2.3,5.7,.409,.446,1.1,1.4,.765,1.1,3.5,4.7,1.3,0.7,0.2,0.8,1.9,9.0,2016
Matt Barnes,SF,35,MEM,4,4,34.8,4.0,11.5,.348,0.8,4.5,.167,3.3,7.0,.464,.380,2.0,2.5,.800,1.3,6.0,7.3,2.8,1.0,0.3,3.3,3.3,10.8,2016
Nicolas Batum,SF,27,CHO,5,2,28.8,3.4,9.0,.378,1.2,4.4,.273,2.2,4.6,.478,.444,3.4,4.0,.850,0.4,3.2,3.6,2.0,0.4,0.0,1.6,1.2,11.4,2016
Aron Baynes,C,29,DET,4,0,11.0,1.0,2.3,.444,0.0,0.0,,1.0,2.3,.444,.444,0.5,0.8,.667,0.8,1.3,2.0,0.5,0.0,0.0,0.8,1.0,2.5,2016
Kent Bazemore,SF,26,ATL,10,10,32.5,4.4,12.1,.364,1.6,6.1,.262,2.8,6.0,.467,.430,1.5,2.2,.682,0.8,5.8,6.6,1.9,1.4,0.6,1.0,1.4,11.9,2016
Michael Beasley,PF,27,HOU,5,0,16.0,4.4,9.2,.478,0.4,1.2,.333,4.0,8.0,.500,.500,1.2,1.4,.857,0.8,3.4,4.2,0.6,0.2,0.0,1.4,1.6,10.4,2016
Patrick Beverley,PG,27,HOU,5,5,25.8,2.0,7.4,.270,0.6,2.8,.214,1.4,4.6,.304,.311,1.2,1.2,1.000,0.8,3.6,4.4,2.2,0.4,0.4,0.8,3.4,5.8,2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
