Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
Precious Achiuwa,C,22,TOR,6,167,10.9,.541,.308,.192,5.4,17.1,10.7,5.7,0.3,3.3,13.8,18.2,,0.0,0.0,0.0,-0.014,,-2.4,-1.0,-3.3,-0.1,2022
Steven Adams,C,28,MEM,7,114,12.8,.464,.000,.524,13.1,29.4,20.8,17.6,0.4,0.9,13.4,10.7,,0.2,0.2,0.3,.128,,-1.6,0.5,-1.1,0.0,2022
Bam Adebayo,C,24,MIA,18,614,17.9,.638,.006,.434,6.9,21.3,13.8,12.6,1.5,2.3,15.4,17.9,,1.2,1.0,2.2,.169,,0.9,2.0,2.9,0.8,2022
Nickeil Alexander-Walker,SG,23,UTA,1,5,66.5,1.025,.000,.500,0.0,23.1,11.6,60.8,10.6,0.0,0.0,22.9,,0.1,0.0,0.1,.810,,27.8,22.3,50.1,0.1,2022
Grayson Allen,SG,26,MIL,12,305,10.3,.576,.585,.134,1.7,9.7,5.9,7.2,1.3,1.3,9.4,13.6,,0.2,0.5,0.7,.115,,-1.0,1.2,0.2,0.2,2022
Jose Alvarado,PG,23,NOP,6,117,13.3,.620,.485,.394,1.9,6.5,4.0,11.4,3.1,0.7,15.3,16.8,,0.2,0.0,0.2,.090,,-1.8,1.7,-0.1,0.1,2022
Kyle Anderson,PF,28,MEM,12,221,15.0,.611,.235,.353,4.5,21.2,12.4,13.6,2.3,3.1,14.5,12.8,,0.3,0.4,0.7,.147,,-0.7,3.5,2.8,0.3,2022
Giannis Antetokounmpo,PF,27,MIL,12,448,26.8,.552,.144,.470,6.2,31.8,19.4,36.9,0.9,3.4,13.6,38.5,,0.6,1.1,1.7,.178,,6.5,4.0,10.4,1.4,2022
Thanasis Antetokounmpo,SF,29,MIL,8,20,11.2,.579,.000,1.000,5.3,14.8,10.2,7.1,2.4,0.0,0.0,9.4,,0.0,0.0,0.1,.178,,-3.9,3.2,-0.7,0.0,2022
OG Anunoby,SF,24,TOR,6,217,15.2,.584,.500,.195,3.6,10.7,6.8,11.4,1.5,0.5,10.1,21.2,,0.3,-0.1,0.2,.051,,1.2,-0.4,0.8,0.1,2022
Deandre Ayton,C,23,PHO,13,397,23.5,.653,.024,.201,10.2,24.1,17.4,9.3,0.6,2.4,9.6,22.9,,1.2,0.2,1.4,.167,,3.4,0.2,3.6,0.6,2022
Desmond Bane,SG,23,MEM,12,428,16.0,.645,.553,.220,1.2,10.4,5.5,9.3,1.2,2.1,8.4,18.2,,0.9,0.5,1.3,.150,,2.9,0.6,3.5,0.6,2022
Dalano Banton,PG,22,TOR,4,8,46.9,.754,.000,3.000,28.1,0.0,15.4,23.4,6.6,0.0,17.7,32.7,,0.1,0.0,0.1,.373,,16.8,4.6,21.4,0.0,2022
Scottie Barnes,PF,20,TOR,4,133,16.8,.520,.286,.381,5.9,29.7,16.7,19.7,1.6,0.8,9.3,18.9,,0.2,0.0,0.2,.082,,0.7,1.0,1.7,0.1,2022
Will Barton,SG,31,DEN,5,172,9.9,.503,.424,.091,3.5,17.1,10.1,12.3,1.2,0.6,12.7,19.9,,0.0,-0.1,-0.1,-0.027,,-0.5,-2.3,-2.8,0.0,2022
Charles Bassey,C,21,PHI,3,12,14.6,.410,.000,.500,10.7,39.0,25.5,12.5,0.0,7.7,0.0,9.6,,0.0,0.0,0.0,.130,,0.2,1.6,1.8,0.0,2022
Malik Beasley,SG,25,MIN,6,119,9.0,.547,.568,.136,2.0,16.0,9.3,5.6,0.8,0.7,13.0,19.3,,-0.1,0.1,0.0,-0.001,,-1.7,-0.9,-2.6,0.0,2022
Dāvis Bertāns,PF,29,DAL,18,192,13.0,.606,.927,.218,2.4,13.7,8.0,4.9,2.2,0.9,4.7,15.6,,0.3,0.2,0.4,.112,,0.0,0.9,0.9,0.1,2022
