Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Karl-Anthony Towns,C,22,MIN,5,5,34.0,5.6,12.0,.467,0.6,2.2,.273,5.0,9.8,.510,.492,3.4,4.6,.739,3.0,10.4,13.4,2.2,0.4,1.0,2.4,2.8,15.2,2018
P.J. Tucker,PF,32,HOU,17,17,33.5,3.1,6.4,.481,2.1,4.4,.467,1.0,1.9,.515,.644,0.7,1.1,.667,1.4,5.2,6.5,1.3,0.6,0.8,0.8,2.7,8.9,2018
Evan Turner,SF,29,POR,3,3,29.0,4.0,11.0,.364,0.7,2.3,.286,3.3,8.7,.385,.394,0.7,0.7,1.000,1.7,2.3,4.0,3.3,1.0,0.3,2.0,2.7,9.3,2018
Myles Turner,C,21,IND,7,7,28.0,4.7,7.7,.611,0.9,1.9,.462,3.9,5.9,.659,.667,2.1,2.7,.789,0.9,4.3,5.1,0.6,0.3,0.6,1.6,3.6,12.4,2018
Ekpe Udoh,C,30,UTA,6,0,3.5,0.2,0.2,1.000,0.0,0.0,,0.2,0.2,1.000,1.000,0.0,0.7,.000,0.2,0.3,0.5,0.0,0.0,0.3,0.2,0.3,0.3,2018
Jonas Valančiūnas,C,25,TOR,10,9,24.4,5.8,10.7,.542,0.2,0.5,.400,5.6,10.2,.549,.551,2.8,3.4,.824,3.0,7.5,10.5,1.2,0.4,1.5,1.9,2.2,14.6,2018
Fred VanVleet,PG,23,TOR,6,1,19.0,2.2,6.5,.333,1.3,4.7,.286,0.8,1.8,.455,.436,1.2,1.3,.875,0.0,1.7,1.7,2.2,0.0,0.0,0.7,1.3,6.8,2018
Dwyane Wade*,SG,36,MIA,5,0,25.4,6.2,14.0,.443,0.0,0.8,.000,6.2,13.2,.470,.443,4.2,5.2,.808,0.6,3.6,4.2,3.6,1.4,0.2,2.2,2.2,16.6,2018
John Wall,PG,27,WAS,6,6,39.0,9.3,21.2,.441,0.7,3.5,.190,8.7,17.7,.491,.457,6.7,7.8,.851,0.5,5.2,5.7,11.5,2.3,1.3,4.5,2.7,26.0,2018
David West,C,37,GSW,18,0,9.7,1.5,2.5,.600,0.1,0.1,.500,1.4,2.4,.605,.611,0.2,0.2,1.000,0.6,1.4,2.1,1.8,0.3,0.6,0.6,1.3,3.3,2018
Russell Westbrook,PG,29,OKC,6,6,39.2,10.7,26.8,.398,2.5,7.0,.357,8.2,19.8,.412,.444,5.5,6.7,.825,1.8,10.2,12.0,7.5,1.5,0.0,5.2,3.5,29.3,2018
Derrick White,PG,23,SAS,3,0,6.0,1.0,2.0,.500,0.3,0.7,.500,0.7,1.3,.500,.583,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,2.3,2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Hassan Whiteside,C,28,MIA,5,5,15.4,1.8,4.0,.450,0.0,0.0,,1.8,4.0,.450,.450,1.6,2.6,.615,2.0,4.0,6.0,0.2,0.0,1.2,2.4,3.2,5.2,2018
Andrew Wiggins,SF,22,MIN,5,5,32.8,6.0,13.6,.441,1.4,4.2,.333,4.6,9.4,.489,.493,2.4,4.0,.600,1.0,4.2,5.2,2.0,0.4,0.4,1.8,2.8,15.8,2018
Justise Winslow,PF,21,MIA,5,0,25.0,3.0,8.4,.357,1.4,3.8,.368,1.6,4.6,.348,.440,2.4,3.4,.706,1.4,5.2,6.6,2.6,0.8,0.8,1.6,3.4,9.8,2018
Delon Wright,PG,25,TOR,10,0,21.5,3.1,6.8,.456,0.9,2.1,.429,2.2,4.7,.468,.522,1.5,1.6,.938,0.3,1.9,2.2,2.3,1.5,0.9,0.9,1.0,8.6,2018
Guerschon Yabusele,PF,22,BOS,12,0,4.0,0.1,0.8,.111,0.0,0.5,.000,0.1,0.3,.333,.111,0.2,0.4,.400,0.3,0.7,0.9,0.3,0.2,0.0,0.0,0.8,0.3,2018
Joe Young,PG,25,IND,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2018
Nick Young,SG,32,GSW,20,2,10.3,0.8,2.7,.302,0.7,2.4,.298,0.1,0.3,.333,.434,0.3,0.4,.750,0.1,0.6,0.6,0.2,0.1,0.0,0.1,0.9,2.6,2018
Thaddeus Young,PF,29,IND,7,7,33.9,5.1,8.6,.600,0.3,1.0,.286,4.9,7.6,.642,.617,0.7,1.9,.385,3.1,4.6,7.7,1.4,1.7,0.9,1.0,3.1,11.3,2018
Tyler Zeller,C,28,MIL,7,3,9.4,0.6,0.7,.800,0.0,0.0,,0.6,0.7,.800,.800,0.4,0.6,.750,0.3,1.7,2.0,0.4,0.6,0.4,0.1,1.6,1.6,2018
Ante Žižić,C,21,CLE,8,0,2.9,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.4,0.8,.500,0.1,0.6,0.8,0.1,0.0,0.1,0.3,0.3,1.6,2018
