Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
Álex Abrines,SG,24,OKC,6,110,9.5,.575,.650,.100,2.9,12.3,7.7,2.6,2.2,1.7,4.6,8.7,,0.1,0.1,0.2,.107,,-1.3,1.9,0.5,0.1,2018
Steven Adams,C,24,OKC,6,200,16.0,.609,.000,.283,10.2,13.6,11.9,7.0,1.0,1.8,7.2,12.2,,0.5,0.2,0.7,.158,,1.6,-0.3,1.3,0.2,2018
Bam Adebayo,C,20,MIA,5,77,6.1,.402,.067,.933,12.1,15.4,13.7,0.0,0.0,2.2,8.6,13.0,,-0.1,0.0,-0.1,-0.036,,-4.3,-4.5,-8.8,-0.1,2018
LaMarcus Aldridge,C,32,SAS,5,177,24.8,.599,.063,.525,7.8,22.6,14.7,13.2,0.9,1.0,8.4,27.8,,0.6,0.1,0.7,.189,,5.6,0.1,5.7,0.3,2018
Al-Farouq Aminu,PF,27,POR,4,131,21.3,.652,.577,.038,9.4,22.1,15.2,5.8,1.5,1.2,10.2,19.2,,0.4,0.0,0.4,.152,,4.4,0.3,4.7,0.2,2018
Justin Anderson,SF,24,PHI,7,33,2.5,.500,.875,.000,3.2,26.3,14.6,0.0,1.5,0.0,20.0,12.7,,0.0,0.0,0.0,.014,,-6.9,-0.6,-7.5,0.0,2018
Kyle Anderson,SF,24,SAS,5,73,17.5,.620,.200,.200,7.2,13.3,10.1,7.4,4.2,1.2,12.1,15.5,,0.1,0.1,0.2,.130,,-0.8,3.7,2.9,0.1,2018
Ryan Anderson,PF,29,HOU,11,95,7.0,.475,.750,.000,4.6,10.6,7.6,9.0,1.6,0.9,13.0,10.8,,0.0,0.1,0.1,.049,,-2.3,0.1,-2.2,0.0,2018
Giannis Antetokounmpo,PF,23,MIL,7,280,26.6,.620,.116,.455,3.7,23.5,14.3,28.2,1.9,1.9,10.5,28.2,,1.0,0.4,1.4,.239,,5.6,1.4,7.1,0.6,2018
Carmelo Anthony,PF,33,OKC,6,194,9.7,.452,.389,.208,1.7,16.7,9.3,1.6,2.5,1.9,7.1,19.1,,-0.2,0.3,0.1,.018,,-2.0,-0.1,-2.2,0.0,2018
