Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Charles Bassey,C,23,SAS,16,166,16.4,.712,.032,.097,12.2,27.2,19.4,13.3,2.3,6.1,28.7,11.5,0.2,0.2,0.4,.111,-2.3,2.0,-0.2,0.1,2024
Emoni Bates,SF,20,CLE,7,52,4.6,.378,.800,.133,2.2,16.4,9.5,5.0,0.9,1.7,5.9,14.2,-0.1,0.0,0.0,-0.031,-4.8,-1.7,-6.5,-0.1,2024
Keita Bates-Diop,SF,28,PHO,13,257,12.3,.519,.393,.311,6.7,12.7,9.9,6.3,1.7,4.3,2.8,12.1,0.3,0.3,0.6,.107,-1.2,0.0,-1.2,0.1,2024
Nicolas Batum,PF,35,TOT,11,265,11.7,.766,.875,.100,3.8,12.5,8.2,8.2,1.1,3.7,12.6,7.6,0.5,0.3,0.7,.134,0.1,0.9,1.0,0.2,2024
Nicolas Batum,PF,35,LAC,3,54,9.9,.500,.875,.000,0.0,13.7,7.1,11.7,2.7,6.6,11.1,7.2,0.0,0.1,0.1,.115,-2.2,3.9,1.7,0.1,2024
Nicolas Batum,PF,35,PHI,8,211,12.1,.829,.875,.125,4.7,12.2,8.5,7.3,0.7,2.9,12.9,7.7,0.4,0.2,0.6,.139,0.7,0.1,0.8,0.2,2024
Bradley Beal,SG,30,PHO,3,86,11.5,.490,.326,.348,4.3,16.4,10.7,20.4,1.1,1.0,14.5,31.3,-0.1,0.1,0.0,-0.022,-2.7,-1.9,-4.7,-0.1,2024
Malik Beasley,SG,27,MIL,16,429,13.2,.672,.721,.098,2.6,13.8,8.5,7.0,1.5,0.2,8.0,13.7,0.7,0.2,1.0,.111,0.7,-0.5,0.2,0.2,2024
MarJon Beauchamp,SF,23,MIL,12,202,10.6,.582,.483,.200,5.1,10.3,7.8,7.7,0.9,0.4,9.7,15.2,0.2,0.1,0.3,.064,-0.9,-1.4,-2.4,0.0,2024
Dāvis Bertāns,PF,31,OKC,5,46,10.0,.501,.923,.692,0.0,8.7,4.8,10.5,1.0,2.0,0.0,16.0,0.1,0.0,0.1,.107,-2.2,-1.0,-3.2,0.0,2024
Patrick Beverley,PG,35,PHI,16,261,6.7,.393,.500,.159,5.9,13.1,9.6,14.7,1.3,2.0,16.0,9.0,0.0,0.2,0.2,.040,-4.0,0.8,-3.3,-0.1,2024
Saddiq Bey,SF,24,ATL,15,423,14.1,.607,.478,.225,7.3,15.3,11.3,5.6,1.8,0.6,12.2,16.6,0.6,0.2,0.8,.087,0.8,-1.1,-0.3,0.2,2024
Goga Bitadze,C,24,ORL,14,276,19.6,.605,.047,.516,12.6,22.3,17.4,11.8,2.3,7.5,8.2,13.0,0.7,0.7,1.4,.235,0.5,3.9,4.4,0.4,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Onuralp Bitim,SG,24,CHI,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.011,-7.4,-3.8,-11.2,0.0,2024
Bismack Biyombo,C,31,MEM,10,255,14.9,.602,.000,.392,13.4,19.9,16.4,10.3,0.8,4.4,10.5,11.1,0.5,0.3,0.8,.145,-1.9,0.3,-1.6,0.0,2024
Anthony Black,PG,20,ORL,14,259,6.5,.541,.370,.333,4.3,9.4,6.8,8.9,0.9,1.8,20.5,12.6,-0.1,0.4,0.3,.051,-5.0,0.7,-4.3,-0.2,2024
Leaky Black,SF,24,CHO,3,12,16.0,.500,.400,.000,0.0,18.7,9.0,11.6,0.0,15.3,0.0,17.4,0.0,0.0,0.0,.089,1.9,1.7,3.6,0.0,2024
Bogdan Bogdanović,SG,31,ATL,15,385,16.8,.592,.638,.114,1.4,10.4,5.9,14.7,2.6,1.4,8.9,22.5,0.7,0.2,0.9,.114,1.9,0.0,1.9,0.4,2024
Bol Bol,PF,24,PHO,3,7,3.2,1.000,.000,.000,0.0,15.5,8.2,0.0,0.0,12.1,66.7,18.6,0.0,0.0,0.0,-0.234,-10.2,0.3,-9.9,0.0,2024
Marques Bolden,C,25,MIL,1,3,3.1,,,,0.0,69.4,36.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.095,-7.9,2.6,-5.3,0.0,2024
Devin Booker,SG,27,PHO,8,268,28.9,.649,.273,.422,3.7,14.6,9.5,47.5,1.3,0.9,12.5,33.8,1.3,0.2,1.5,.274,6.9,-1.0,5.9,0.5,2024
Chris Boucher,PF,31,TOR,14,224,14.8,.595,.373,.463,9.2,22.1,15.5,3.6,0.9,3.6,6.9,16.4,0.4,0.3,0.7,.156,-1.7,-0.5,-2.1,0.0,2024
Jamaree Bouyea,PG,24,POR,6,57,-4.6,.238,.381,.000,3.6,17.3,9.9,19.8,0.0,0.0,27.6,21.6,-0.4,0.0,-0.3,-0.293,-13.0,-5.3,-18.3,-0.2,2024
Malaki Branham,SG,20,SAS,16,329,7.2,.474,.394,.068,1.0,5.6,3.2,15.3,1.0,0.3,10.5,19.4,-0.3,0.0,-0.4,-0.052,-4.6,-2.7,-7.3,-0.5,2024
Christian Braun,SG,22,DEN,16,343,14.2,.560,.230,.254,4.8,18.4,11.6,11.6,0.9,1.0,7.5,18.5,0.4,0.4,0.8,.112,-0.7,-0.8,-1.5,0.0,2024
Mikal Bridges,SF,27,BRK,15,518,18.4,.572,.352,.261,4.2,14.5,9.4,16.7,1.7,1.1,11.0,27.0,0.7,0.4,1.1,.106,1.4,-0.6,0.8,0.4,2024
Miles Bridges,SF,25,CHO,4,147,18.9,.632,.357,.393,1.4,24.4,12.5,11.7,2.0,0.6,9.6,20.7,0.3,0.1,0.4,.129,1.3,0.7,2.0,0.1,2024
